Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Crustle (Shadow),82.1,558,bug,rock,120.9,134.1,114,1848465,22,1499,Fury Cutter,X-Scissor,Rock Slide,10,12,1,10000
Sandslash (Shadow),82.1,28,ground,none,120.5,121.1,126,1837863,23.5,1493,Sand Attack,Rock Tomb,Night Slash,13,9,3,50000
Venusaur,82.1,3,grass,poison,122.5,121.9,122,1820851,20,1496,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Golett (Shadow),82,622,ground,ghost,119.3,89.9,141,1512725,50,1344,Mud Slap,Shadow Punch,Brick Break,4,4,5,75000
Gourgeist (Super),82,711,ghost,grass,115.8,128.8,130,1939976,21.5,1499,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Marshtomp,82,259,water,ground,120.3,108.9,142,1860776,35,1498,Mud Shot,Mud Bomb,Surf,5,6,3,10000
Meganium,82,154,grass,none,111.5,138.4,130,2005358,23,1499,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Tentacruel (Shadow),82,73,water,poison,110.1,139.9,132,2032660,23.5,1496,Acid,Scald,Sludge Wave,7,9,3,50000
Umbreon,82,197,dark,none,90.2,177,155,2475791,27,1497,Snarl,Dark Pulse,Last Resort,4,5,5,75000
Glalie,81.9,362,ice,none,115.2,120.1,140,1937229,27,1498,Rollout,Avalanche,Shadow Ball,4,5,3,50000
Piloswine,81.9,221,ice,ground,121.1,98.2,155,1842165,24,1497,Powder Snow,Icicle Spear,High Horsepower,5,8,3,50000
Crustle,81.8,558,bug,rock,120.9,134.1,114,1848465,22,1499,Fury Cutter,X-Scissor,Rock Slide,10,12,1,10000
Salazzle,81.8,758,poison,fire,146.6,90.9,114,1518532,22,1492,Incinerate,Poison Fang,Dragon Pulse,2,3,3,50000
Glalie (Shadow),81.7,362,ice,none,115.2,120.1,140,1937229,27,1498,Rollout,Avalanche,Shadow Ball,4,5,3,50000
Machoke,81.7,67,fighting,none,127.7,97.2,141,1750103,27,1498,Karate Chop,Cross Chop,Return,4,8,3,50000
Miltank,81.7,241,normal,none,105.4,135.5,148,2112476,24,1494,Rollout,Body Slam,Thunderbolt,3,5,5,75000
Altaria,81.6,334,dragon,flying,103.4,153.3,136,2156405,28.5,1498,Dragon Breath,Sky Attack,Moonblast,19,20,1,10000
Castform (Rainy),81.6,351,water,none,113.4,119.6,146,1979669,38.5,1499,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Giratina (Origin),81.6,487,ghost,dragon,119.5,103.5,152,1879872,15,1499,Shadow Claw,Ominous Wind,Shadow Ball,6,7,20,100000
Piloswine (Shadow),81.6,221,ice,ground,121.1,98.2,155,1842165,24,1497,Powder Snow,Icicle Spear,High Horsepower,5,8,3,50000
Serperior (Shadow),81.6,497,grass,none,110.2,143.6,128,2025814,25,1499,Vine Whip,Frenzy Plant,Aerial Ace,6,5,3,10000
Spinda,81.6,327,normal,none,110.1,110.1,142,1720678,50,1380,Sucker Punch,Rock Tomb,Icy Wind,8,7,3,50000
Gallade,81.5,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Regirock (Shadow),81.5,377,rock,none,105.4,182.5,111,2135412,18,1500,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Sandslash,81.5,28,ground,none,120.5,121.1,126,1837863,23.5,1493,Sand Attack,Rock Tomb,Night Slash,13,9,3,50000
Wailmer (Shadow),81.5,320,water,none,117.4,68.3,239,1916533,48.5,1500,Rollout,Scald,Body Slam,4,3,1,10000
Cofagrigus,81.4,563,ghost,none,112.2,168.3,106,2002086,25,1500,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Tropius,81.4,357,grass,flying,101.4,127.3,170,2195741,29,1494,Air Slash,Leaf Blade,Aerial Ace,4,5,5,75000
Charizard (Shadow),81.3,6,fire,flying,132.2,108.3,117,1674892,19,1488,Ember,Blast Burn,Dragon Claw,8,5,3,10000
Magneton (Shadow),81.3,82,electric,steel,144.7,112.8,95,1550755,22,1500,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Raichu (Alolan),81.3,26,electric,psychic,136.2,111.7,108,1643875,24.5,1499,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Dragapult,81.2,887,dragon,ghost,143.6,97.3,112,1564692,15.5,1499,Astonish,Breaking Swipe,Shadow Ball,4,6,5,75000
Mightyena,81.2,262,dark,none,125.9,104.3,134,1759749,29,1491,Sucker Punch,Crunch,Poison Fang,7,6,1,10000
Beedrill (Shadow),81.1,15,bug,poison,127.6,106.2,129,1749201,31,1494,Poison Sting,X-Scissor,Drill Run,5,5,1,10000
Cetoddle,81.1,974,ice,none,112.6,79.8,213,1914594,50,1469,Powder Snow,Avalanche,Body Slam,6,5,3,50000
Marshtomp (Shadow),81.1,259,water,ground,121.2,109.9,139,1851275,33.5,1499,Mud Shot,Mud Bomb,Surf,5,6,3,10000
Nidorina,81.1,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Thunderbolt,5,7,3,50000
Oranguru,81.1,765,normal,psychic,110.9,131.2,139,2021720,22.5,1499,Confusion,Brutal Swing,Trailblaze,3,4,3,75000
Wailmer,81.1,320,water,none,117.4,68.3,239,1916533,48.5,1500,Rollout,Scald,Body Slam,4,3,1,10000
Whimsicott,81.1,547,grass,fairy,118.4,133.1,119,1875239,27.5,1490,Fairy Wind,Seed Bomb,Moonblast,5,7,1,10000
Ferrothorn,81,598,grass,steel,107.3,155.1,125,2080828,24,1498,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Gourgeist (Large),81,711,ghost,grass,116.6,136.9,121,1930877,22.5,1500,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Hippopotas (Shadow),81,449,ground,none,115.3,111.1,152,1946522,49,1498,Sand Attack,Rock Tomb,Dig,13,13,3,50000
Mantine,81,226,water,flying,106.2,163.1,122,2113576,27,1499,Wing Attack,Aerial Ace,Ice Beam,6,8,5,75000
Suicune,81,245,water,none,107.4,141.9,137,2089025,18.5,1499,Ice Fang,Bubble Beam,Scald,7,9,20,100000
Cresselia,80.9,488,psychic,none,93.2,158.3,163,2404853,20,1497,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Ledian (Shadow),80.9,166,bug,flying,101.9,161.2,134,2201440,49,1500,Bug Bite,Dynamic Punch,Aerial Ace,15,14,1,10000
Trevenant,80.9,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Seed Bomb,Shadow Ball,6,7,5,75000
Aggron,80.8,306,steel,rock,116.1,154,107,1912293,18.5,1492,Metal Sound,Rock Tomb,Thunder,7,8,1,10000
Drifloon (Shadow),80.8,425,ghost,flying,110.9,79.8,186,1646946,50,1353,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Magmar (Shadow),80.8,126,fire,none,136.6,107.5,112,1645117,23.5,1499,Karate Chop,Fire Punch,Scorching Sands,5,6,5,75000
Pumpkaboo (Super),80.8,710,ghost,grass,111.8,113.4,141,1787612,50,1414,Astonish,Grass Knot,Foul Play,5,4,5,75000
Relicanth,80.8,369,water,rock,105.2,137.5,147,2126096,22.5,1498,Water Gun,Aqua Tail,Ancient Power,12,15,5,75000
Wailord,80.8,321,water,none,119.6,66.8,235,1876670,25,1500,Rollout,Surf,Return,4,6,1,10000
Gengar,80.7,94,ghost,poison,156.6,94.3,97,1433181,19,1500,Shadow Claw,Shadow Punch,Sludge Bomb,5,7,3,50000
Lileep,80.7,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Ancient Power,Grass Knot,6,7,3,50000
Raikou (Shadow),80.7,243,electric,none,133.1,110.4,115,1690107,15.5,1500,Thunder Shock,Wild Charge,Shadow Ball,5,7,20,100000
Amaura (Shadow),80.6,698,rock,ice,114.3,104.2,164,1952869,50,1497,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Bombirdier,80.6,962,flying,dark,128,115.3,118,1741817,22.5,1496,Sucker Punch,Fly,Rock Tomb,7,8,5,75000
Fletchinder,80.6,662,fire,flying,123,103.2,142,1801392,47,1492,Ember,Fly,Aerial Ace,7,6,1,10000
Gourgeist (Average),80.6,711,ghost,grass,116.6,147,112,1919131,23.5,1500,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Greedent,80.6,820,normal,none,107.5,110.7,175,2083197,23.5,1498,Mud Shot,Body Slam,Trailblaze,5,6,1,10000
Overqwil,80.6,904,dark,poison,131.6,106.6,121,1696708,19,1498,Poison Jab,Aqua Tail,Shadow Ball,5,8,5,75000
Tauros (Aqua),80.6,128,fighting,water,127.8,123.1,111,1746363,20,1494,Double Kick,Aqua Jet,Trailblaze,4,4,3,50000
Wartortle,80.6,8,water,none,107.9,137.8,139,2067932,48,1496,Water Gun,Aqua Jet,Ice Beam,14,19,3,10000
Abomasnow,80.5,460,grass,ice,117.9,111.4,143,1877258,23.5,1491,Powder Snow,Icy Wind,Energy Ball,6,7,3,50000
Castform,80.5,351,normal,none,113.4,119.6,146,1979669,38.5,1499,Hex,Weather Ball (Rock),Energy Ball,3,5,5,75000
Cetitan,80.5,975,ice,none,120.7,75.9,203,1861103,18,1500,Powder Snow,Avalanche,Body Slam,6,5,3,50000
Gyarados (Shadow),80.5,130,water,flying,130.8,108,121,1708726,16.5,1498,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Palkia (Shadow),80.5,484,water,dragon,142.3,112.9,98,1574925,13.5,1498,Dragon Breath,Aqua Tail,Draco Meteor,12,22,20,100000
Pawniard,80.5,624,dark,steel,132,107.8,118,1678084,49,1492,Fury Cutter,Night Slash,X-Scissor,9,10,5,75000
Typhlosion,80.5,157,fire,none,132.2,108.3,117,1674892,19,1488,Incinerate,Blast Burn,Thunder Punch,3,2,3,10000
Lokix,80.4,920,bug,dark,132.9,104.1,121,1672678,24,1491,Sucker Punch,X-Scissor,Trailblaze,6,7,1,50000
Nidorina (Shadow),80.4,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Dig,5,6,3,50000
Roserade,80.4,407,grass,poison,143.1,114.9,95,1561844,18.5,1497,Poison Sting,Weather Ball (Fire),Leaf Storm,4,7,3,50000
Samurott (Hisuian),80.4,503,water,dark,133.2,95.6,132,1680851,20,1496,Fury Cutter,Dark Pulse,Icy Wind,13,12,3,10000
Decidueye,80.3,724,grass,ghost,127.8,115.3,118,1739336,20,1492,Astonish,Frenzy Plant,Spirit Shackle,5,4,3,10000
Haunter,80.3,93,ghost,poison,161.2,85.5,100,1378532,28,1493,Shadow Claw,Shadow Punch,Ice Punch,5,5,3,50000
Leavanny,80.3,542,bug,grass,131,109,120,1713215,22,1499,Shadow Claw,Leaf Blade,X-Scissor,5,5,1,10000
Kingambit,80.2,983,dark,steel,126.8,112.8,123,1758613,15,1493,Metal Sound,Foul Play,Iron Head,5,7,5,75000
Perrserker,80.2,863,steel,none,128.9,114.6,117,1728225,23.5,1493,Shadow Claw,Close Combat,Trailblaze,6,6,3,50000
Venusaur (Shadow),80.2,3,grass,poison,122.5,121.9,122,1820851,20,1496,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Skuntank,80.1,435,poison,dark,121.7,95.2,157,1819546,23.5,1490,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Beedrill,80,15,bug,poison,127.6,106.2,129,1749201,31,1494,Poison Sting,X-Scissor,Drill Run,5,5,1,10000
Dugtrio (Alolan) (Shadow),80,51,ground,steel,148.9,111.5,90,1494460,29,1497,Mud Slap,Mud Bomb,Iron Head,4,5,3,50000
Empoleon,80,395,water,steel,125.8,115.9,122,1777988,19,1500,Metal Claw,Hydro Cannon,Drill Peck,6,6,3,10000
Galvantula (Shadow),80,596,bug,electric,139,93.8,124,1615746,25.5,1499,Fury Cutter,Discharge,Lunge,10,12,3,50000
Rhyperior (Shadow),80,464,ground,rock,126.8,105.5,132,1766090,15,1498,Mud Slap,Breaking Swipe,Rock Wrecker,4,5,3,50000
Amaura,79.9,698,rock,ice,114.3,104.2,164,1952869,50,1497,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Ariados,79.9,168,bug,poison,124.7,102,141,1793573,34,1497,Poison Sting,Lunge,Trailblaze,5,5,1,10000
Empoleon (Shadow),79.9,395,water,steel,125.8,115.9,122,1777988,19,1500,Metal Claw,Hydro Cannon,Drill Peck,6,6,3,10000
Hariyama,79.9,297,fighting,none,125.6,75.5,186,1764581,19.5,1492,Force Palm,Upper Hand,Heavy Slam,4,5,3,50000
Hariyama (Shadow),79.9,297,fighting,none,125.6,75.5,186,1764581,19.5,1492,Force Palm,Upper Hand,Heavy Slam,4,5,3,50000
Hydreigon,79.9,635,dark,dragon,136.6,103.5,116,1639587,15,1499,Dragon Breath,Brutal Swing,Flash Cannon,12,24,5,75000
Poliwrath,79.9,62,water,fighting,116.5,119.7,138,1924689,22,1500,Counter,Scald,Icy Wind,9,8,3,50000
Flygon (Shadow),79.8,330,ground,dragon,129.2,109.6,123,1740871,21,1499,Dragon Tail,Dragon Claw,Scorching Sands,4,6,5,75000
Kricketune,79.8,402,bug,none,127.7,88,155,1742826,38,1492,Fury Cutter,X-Scissor,Aerial Ace,10,10,1,10000
Venomoth,79.8,49,bug,poison,128.2,104.4,131,1752985,27.5,1499,Psywave,Poison Fang,Bug Buzz,10,15,3,50000
Venomoth (Shadow),79.8,49,bug,poison,128.2,104.4,131,1752985,27.5,1499,Psywave,Poison Fang,Bug Buzz,10,15,3,50000
Drampa,79.7,780,normal,dragon,136.8,104.2,114,1625878,19,1492,Dragon Breath,Swift,Fly,12,15,5,75000
Gourgeist (Small),79.7,711,ghost,grass,117,153.4,106,1903085,24.5,1495,Hex,Shadow Ball,Seed Bomb,5,4,5,75000
Registeel (Shadow),79.7,379,steel,none,96.1,187.1,130,2337024,23,1498,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Scrafty,79.7,560,dark,fighting,110.4,155.4,117,2007526,24.5,1489,Counter,Foul Play,Thunder Punch,7,7,3,50000
Starmie,79.7,121,water,psychic,132.2,121.8,104,1675198,21,1488,Psywave,Surf,Power Gem,12,13,3,50000
Grimer (Alolan),79.6,88,poison,dark,123.6,86,171,1818779,49,1500,Acid,Crunch,Sludge Bomb,6,7,3,50000
Gyarados,79.6,130,water,flying,130.8,108,121,1708726,16.5,1498,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Avalugg,79.5,713,ice,none,112.9,142.5,124,1994682,17.5,1500,Ice Fang,Avalanche,Body Slam,8,6,3,50000
Grimer (Shadow),79.5,88,poison,none,123.6,86,171,1818779,49,1500,Poison Jab,Sludge,Mud Bomb,6,6,3,50000
Lileep (Shadow),79.5,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Ancient Power,Grass Knot,6,7,3,50000
Skarmory (Shadow),79.5,227,steel,flying,106.2,163.1,122,2113576,27,1499,Steel Wing,Brave Bird,Sky Attack,10,10,5,75000
Ferrothorn (Shadow),79.4,598,grass,steel,107.3,155.1,125,2080828,24,1498,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Raikou,79.4,243,electric,none,130.9,110.1,118,1700490,16,1492,Thunder Shock,Wild Charge,Shadow Ball,5,7,20,100000
Scyther,79.4,123,bug,flying,134.9,110.7,111,1657053,20.5,1496,Fury Cutter,Aerial Ace,Night Slash,10,9,5,75000
Drifloon,79.3,425,ghost,flying,110.9,79.8,186,1646946,50,1353,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Galvantula,79.3,596,bug,electric,139,93.8,124,1615746,25.5,1499,Fury Cutter,Discharge,Lunge,10,12,3,50000
Litleo,79.3,667,fire,normal,121.1,106.1,143,1837354,49,1495,Incinerate,Flame Charge,Crunch,3,3,3,10000
Servine,79.3,496,grass,none,107.2,137.4,142,2092314,49.5,1500,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Castform (Snowy),79.2,351,ice,none,113.4,119.6,146,1979669,38.5,1499,Powder Snow,Weather Ball (Ice),Blizzard,5,10,5,75000
Magnezone (Shadow),79.2,462,electric,steel,134.9,120.1,102,1652719,17,1496,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Pelipper,79.2,279,water,flying,123.3,128.7,114,1809463,26,1496,Wing Attack,Weather Ball (Water),Hurricane,5,10,3,50000
Sneasler (Shadow),79.2,903,fighting,poison,146,95.3,110,1529893,17,1495,Shadow Claw,Close Combat,Aerial Ace,6,5,5,75000
Dugtrio (Alolan),79.1,51,ground,steel,148.9,111.5,90,1494460,29,1497,Mud Slap,Mud Bomb,Iron Head,4,5,3,50000
Magneton,79.1,82,electric,steel,144.7,112.8,95,1550755,22,1500,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Armaldo (Shadow),79,348,rock,bug,133.3,110.9,113,1670643,19.5,1497,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Bibarel (Shadow),79,400,normal,water,124.2,97.7,149,1807978,30.5,1499,Rollout,Surf,Hyper Fang,4,4,1,10000
Flygon,79,330,ground,dragon,129.2,109.6,123,1740871,21,1499,Dragon Tail,Scorching Sands,Dragon Claw,6,4,5,75000
Pawmot,79,923,electric,fighting,144.5,94.3,113,1538995,21,1492,Thunder Shock,Brick Break,Wild Charge,5,5,3,75000
Turtonator,79,776,fire,dragon,114.2,153,112,1956666,25,1496,Incinerate,Dragon Pulse,Overheat,3,3,5,75000
Golett,78.9,622,ground,ghost,119.3,89.9,141,1512725,50,1344,Mud Slap,Shadow Punch,Brick Break,4,4,5,75000
Arcanine (Shadow),78.8,59,fire,none,132.7,104,122,1683972,18.5,1497,Fire Fang,Wild Charge,Psychic Fangs,8,6,3,50000
Frillish,78.8,592,water,ghost,109.2,125.2,135,1846427,50,1421,Hex,Night Shade,Ice Beam,4,5,3,50000
Furfrou,78.8,676,normal,none,116.6,122.9,134,1919933,27,1500,Sucker Punch,Surf,Grass Knot,7,8,5,75000
Grimer,78.8,88,poison,none,121.5,88,171,1827419,49.5,1493,Poison Jab,Sludge,Mud Bomb,6,6,3,50000
Hawlucha,78.8,701,fighting,flying,128.9,108.8,124,1738490,23.5,1498,Poison Jab,Flying Press,Aerial Ace,6,6,5,75000
Meganium (Shadow),78.8,154,grass,none,111.5,138.4,130,2005358,23,1499,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Pidgeot,78.8,18,normal,flying,117.2,113.8,143,1905836,26,1494,Gust,Air Cutter,Brave Bird,3,5,1,10000
Oinkologne (Female),78.7,916,normal,none,110.9,110.3,166,2029519,22.5,1500,Tackle,Body Slam,Trailblaze,12,15,1,10000
Dubwool,78.6,832,normal,none,111,141.7,128,2013564,26,1499,Double Kick,Body Slam,Payback,3,5,3,10000
Pumpkaboo (Large),78.6,710,ghost,grass,113.4,115.1,133,1736900,50,1406,Astonish,Grass Knot,Foul Play,5,4,5,75000
Raticate (Alolan),78.6,20,dark,normal,107.5,130.7,148,2078413,37,1496,Quick Attack,Crunch,Return,6,9,1,10000
Regice,78.6,378,ice,none,103.7,180.2,115,2149641,18,1497,Lock On,Blizzard,Thunder,15,12,20,100000
Arcanine,78.5,59,fire,none,132.7,104,122,1683972,18.5,1497,Fire Fang,Wild Charge,Psychic Fangs,8,6,3,50000
Bewear,78.5,760,normal,fighting,130.4,85.6,154,1717970,18,1497,Shadow Claw,Superpower,Stomp,5,5,1,10000
Sneasler,78.5,903,fighting,poison,146,95.3,110,1529893,17,1495,Shadow Claw,Close Combat,Aerial Ace,6,5,5,75000
Charizard,78.4,6,fire,flying,132.2,108.3,117,1674892,19,1488,Ember,Blast Burn,Dragon Claw,8,5,3,10000
Machop,78.4,66,fighting,none,127.7,81.5,157,1634495,50,1445,Karate Chop,Cross Chop,Return,4,8,3,50000
Machop (Shadow),78.4,66,fighting,none,127.7,81.5,157,1634495,50,1445,Karate Chop,Cross Chop,Brick Break,4,5,3,50000
Magmortar (Shadow),78.4,467,fire,none,141.4,103.4,108,1578615,17.5,1500,Karate Chop,Fire Punch,Thunderbolt,5,7,5,75000
Rhydon (Shadow),78.4,112,ground,rock,126.7,102.4,136,1765046,17,1498,Mud Slap,Breaking Swipe,Stone Edge,4,6,3,50000
Skuntank (Shadow),78.4,435,poison,dark,121.7,95.2,157,1819546,23.5,1490,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Wartortle (Shadow),78.4,8,water,none,107.9,137.8,139,2067932,48,1496,Water Gun,Aqua Jet,Ice Beam,14,19,3,10000
Cresselia (Shadow),78.3,488,psychic,none,93.2,159.3,161,2389933,19.5,1492,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Ampharos (Shadow),78.1,181,electric,none,127.4,106.8,129,1754935,19.5,1499,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Granbull (Shadow),78,210,fairy,none,135.3,87.7,139,1650182,22,1494,Charm,Close Combat,Crunch,8,8,3,50000
Lucario,78,448,fighting,steel,145.8,95.6,110,1532231,20.5,1494,Force Palm,Thunder Punch,Shadow Ball,4,6,5,75000
Pawmo,78,922,electric,fighting,136.1,81.5,142,1575592,50,1468,Thunder Shock,Wild Charge,Thunder Punch,5,5,3,75000
Zangoose,78,335,normal,none,144.8,87.1,122,1539050,23,1494,Fury Cutter,Close Combat,Night Slash,12,9,3,50000
Mantyke,77.9,458,water,flying,100.8,163,120,1972572,50,1411,Bubble,Aerial Ace,Water Pulse,4,5,5,10000
Poliwrath (Shadow),77.9,62,water,fighting,116.5,119.7,138,1924689,22,1500,Counter,Scald,Icy Wind,9,8,3,50000
Rapidash (Galarian),77.9,78,psychic,fairy,134.7,110.9,111,1658326,22,1498,Fairy Wind,Body Slam,Wild Charge,4,5,3,50000
Sylveon,77.9,700,fairy,none,118.9,121.2,131,1888899,18.5,1498,Charm,Psyshock,Moonblast,7,10,5,75000
Tapu Fini,77.9,788,water,fairy,115.3,155.3,108,1934126,20,1498,Water Gun,Surf,Nature's Madness,15,17,20,100000
Ampharos,77.8,181,electric,none,127.4,106.8,129,1754935,19.5,1499,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Aromatisse,77.8,683,fairy,none,116.5,108,153,1924550,24,1497,Charm,Moonblast,Thunderbolt,10,10,3,50000
Rapidash,77.8,78,fire,none,134.7,110.9,111,1658326,22,1498,Incinerate,Flame Charge,Wild Charge,3,3,3,50000
Rhyperior,77.8,464,ground,rock,126.8,105.5,132,1766090,15,1498,Mud Slap,Breaking Swipe,Rock Wrecker,4,5,3,50000
Snorlax (Shadow),77.8,143,normal,none,108.4,101.7,187,2061936,17.5,1498,Lick,Body Slam,Superpower,12,14,5,75000
Tyrunt (Shadow),77.7,696,rock,dragon,127.6,106.3,129,1749486,39.5,1499,Dragon Tail,Dragon Claw,Ancient Power,4,5,5,75000
Grafaiai,77.6,945,poison,normal,134.9,106.5,115,1651372,24.5,1497,Mud Slap,Poison Fang,Sludge Bomb,4,5,3,50000
Heatran (Shadow),77.6,485,fire,steel,131.8,116,111,1696227,14.5,1497,Fire Spin,Magma Storm,Stone Edge,4,6,20,100000
Pinsir (Shadow),77.6,127,bug,none,141.3,111.5,101,1591266,18.5,1500,Fury Cutter,Close Combat,X-Scissor,12,10,5,75000
Politoed,77.5,186,water,none,114.7,121.7,140,1954251,23,1498,Mud Shot,Weather Ball (Water),Earthquake,5,9,3,50000
Golem (Alolan) (Shadow),77.4,76,rock,electric,125.2,121.7,117,1782513,19,1497,Rollout,Wild Charge,Rock Blast,4,4,1,10000
Mawile,77.4,303,steel,fairy,125.9,121.2,117,1784529,38.5,1500,Fairy Wind,Iron Head,Play Rough,6,7,5,75000
Pidgeot (Shadow),77.3,18,normal,flying,117.2,113.8,143,1905836,26,1494,Gust,Brave Bird,Air Cutter,5,3,1,10000
Typhlosion (Hisuian),77.3,157,fire,ghost,139.6,105.1,109,1600179,18.5,1499,Ember,Fire Punch,Wild Charge,6,7,3,10000
Wailord (Shadow),77.3,321,water,none,119.6,66.8,235,1876670,25,1500,Rollout,Surf,Hyper Beam,4,7,1,10000
Haunter (Shadow),77.2,93,ghost,poison,161.2,85.5,100,1378532,28,1493,Shadow Claw,Ice Punch,Shadow Ball,5,7,3,50000
Kangaskhan,77.2,115,normal,none,115.9,112.8,148,1934823,22,1500,Mud Slap,Stomp,Crunch,4,5,3,50000
Politoed (Shadow),77.2,186,water,none,114.7,121.7,140,1954251,23,1498,Mud Shot,Weather Ball (Water),Earthquake,5,9,3,50000
Sceptile,77.2,254,grass,none,136.9,108.5,110,1633945,19.5,1497,Fury Cutter,Frenzy Plant,Breaking Swipe,12,9,3,10000
Vaporeon,77.2,134,water,none,119,97.2,163,1886587,17.5,1499,Water Gun,Aqua Tail,Last Resort,12,19,5,75000
Escavalier,77.1,589,bug,steel,133.9,116.8,107,1673454,19.5,1499,Bug Bite,Drill Run,Razor Shell,15,12,3,50000
Bibarel,77,400,normal,water,124.2,97.7,149,1807978,30.5,1499,Rollout,Surf,Hyper Fang,4,4,1,10000
Kleavor,77,900,bug,rock,144.2,105.1,102,1545034,17.5,1498,Fury Cutter,X-Scissor,Stone Edge,10,14,5,75000
Magmar,77,126,fire,none,136.6,107.5,112,1645117,23.5,1499,Karate Chop,Fire Punch,Scorching Sands,5,6,5,75000
Munchlax,76.9,446,normal,none,104,95.2,218,2158275,31,1499,Tackle,Body Slam,Bulldoze,12,15,5,10000
Centiskorch,76.8,851,fire,bug,129.3,98.3,136,1727437,18.5,1495,Ember,Lunge,Crunch,7,7,5,75000
Dugtrio (Shadow),76.8,51,ground,none,136.4,120.5,99,1627049,41.5,1495,Mud Slap,Mud Bomb,Stone Edge,4,6,3,50000
Golem (Alolan),76.8,76,rock,electric,125.2,121.7,117,1782513,19,1497,Rollout,Wild Charge,Rock Blast,4,4,1,10000
Magnemite (Shadow),76.8,81,electric,steel,148.7,113.4,89,1501640,50,1495,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Muk (Shadow),76.8,89,poison,none,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Pinsir,76.8,127,bug,none,141.3,111.5,101,1591266,18.5,1500,Fury Cutter,Close Combat,X-Scissor,12,10,5,75000
Armaldo,76.7,348,rock,bug,133.3,110.9,113,1670643,19.5,1497,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Celesteela,76.7,797,steel,flying,119.6,119,131,1864503,18,1495,Air Slash,Body Slam,Iron Head,4,6,20,100000
Excadrill (Shadow),76.7,530,ground,steel,142.7,78.8,139,1561805,17,1494,Mud Slap,Drill Run,Rock Slide,5,5,3,50000
Crocalor,76.6,910,fire,none,119.8,106.3,146,1858803,28.5,1496,Incinerate,Crunch,Flamethrower,3,3,3,10000
Mamoswine,76.6,473,ice,ground,136.2,87.4,137,1630185,16.5,1491,Powder Snow,Icicle Spear,High Horsepower,5,8,3,50000
Noctowl,76.6,164,normal,flying,105.3,120.2,167,2113724,28,1494,Wing Attack,Sky Attack,Night Shade,8,7,1,10000
Druddigon,76.5,621,dragon,none,131.4,110.5,117,1699459,20,1498,Dragon Tail,Dragon Claw,Night Slash,4,4,5,75000
Electabuzz (Shadow),76.5,125,electric,none,132.8,111.4,114,1685681,23.5,1500,Thunder Shock,Thunder Punch,Thunderbolt,5,7,5,75000
Mamoswine (Shadow),76.5,473,ice,ground,136.2,87.4,137,1630185,16.5,1491,Powder Snow,Icicle Spear,High Horsepower,5,8,3,50000
Spritzee,76.5,682,fairy,none,105,107.6,168,1898008,50,1415,Charm,Thunderbolt,Draining Kiss,10,10,3,50000
