winner_type_1,winner_type_2,winner_fast_move,winner_charge_move_1,winner_charge_move_2,winner_fast_move_type,winner_charge_move_1_type,winner_charge_move_2_type,winner_dex,winner_attack,winner_defense,winner_stamina,winner_overall,loser_type_1,loser_type_2,loser_fast_move,loser_charge_move_1,loser_charge_move_2,loser_fast_move_type,loser_charge_move_1_type,loser_charge_move_2_type,loser_dex,loser_attack,loser_defense,loser_stamina,loser_overall
fighting,none,Counter,Ice Punch,Thunder Punch,fighting,ice,electric,107,128.2,137.3,98,69.8,water,rock,Bubble,Power Gem,Rock Blast,ghost,ghost,rock,222,109.3,141.6,133,72.0
grass,fairy,Fairy Wind,Seed Bomb,Moonblast,fairy,grass,fairy,547,118.4,133.1,119,81.3,water,none,Bubble,Drill Peck,Icy Wind,water,flying,ice,393,106.7,98.3,131,56.6
fire,none,Incinerate,Rock Slide,Overheat,fire,rock,fire,555,151.3,71.4,137,69.5,fire,normal,Incinerate,Flame Charge,Dark Pulse,fire,fire,dark,668,135.0,98.0,125,74.5
rock,ground,Bite,Ancient Power,Dig,dark,rock,ground,247,121.1,112.7,136,55.5,ghost,poison,Shadow Claw,Shadow Punch,Sludge Bomb,ghost,ghost,poison,94,156.6,94.3,97,80.7
grass,poison,Acid,Sludge Bomb,Moonblast,poison,poison,fairy,44,122.6,114.9,130,70.7,fighting,none,Counter,Close Combat,Triple Axel,fighting,fighting,ice,237,121.7,151.3,100,74.5
grass,flying,Leafage,Brave Bird,Seed Bomb,grass,flying,grass,723,112.3,116.8,152,74.1,dragon,none,Scratch,Dragon Claw,Aqua Tail,normal,dragon,water,610,139.5,95.2,121,50.9
grass,none,Bullet Seed,Sludge Bomb,Leaf Storm,grass,poison,grass,192,128.7,102.2,131,60.3,rock,steel,Smack Down,Stone Edge,Flamethrower,rock,rock,fire,411,81.1,246.7,138,89.2
fire,none,Karate Chop,Fire Punch,Scorching Sands,fighting,fire,ground,126,136.6,107.5,112,77.0,bug,flying,Infestation,Air Cutter,Silver Wind,bug,flying,bug,267,146.4,81.9,128,59.7
bug,flying,Bug Bite,Dynamic Punch,Aerial Ace,bug,fighting,flying,166,101.9,161.2,134,83.2,water,fighting,Wing Attack,Close Combat,Aqua Jet,flying,fighting,water,914,137.9,97.1,121,72.4
water,flying,Bubble,Aerial Ace,Water Pulse,water,flying,water,458,100.8,163.0,120,78.1,ground,electric,Thunder Shock,Mud Bomb,Discharge,electric,ground,electric,618,101.8,127.9,169,91.3
fighting,water,Counter,Aqua Jet,Dynamic Punch,fighting,water,fighting,892,136.6,97.8,121,69.9,normal,flying,Bullet Seed,Drill Peck,Rock Blast,grass,flying,rock,733,137.3,96.8,122,60.5
normal,none,Mud Slap,Stomp,Crunch,ground,normal,dark,115,115.9,112.8,148,77.3,water,none,Rollout,Hydro Cannon,Skull Bash,rock,water,normal,9,111.5,140.7,127,87.0
ghost,none,Lick,Psychic Fangs,Shadow Ball,ghost,psychic,ghost,972,121.0,131.2,117,74.2,ice,none,Astonish,Icy Wind,Signal Beam,ghost,ice,bug,583,124.1,119.3,122,69.9
ice,none,Ice Shard,Triple Axel,Night Slash,ice,ice,dark,615,116.5,136.2,121,73.3,water,none,Mud Slap,Liquidation,Surf,ground,water,water,961,151.8,107.2,90,61.0
normal,none,Rollout,Body Slam,Thunderbolt,rock,normal,electric,241,105.4,135.5,148,81.7,ground,ghost,Mud Slap,Shadow Punch,Dynamic Punch,ground,ghost,fighting,623,133.9,96.7,129,87.3
psychic,none,Confusion,Future Sight,Psychic,psychic,psychic,psychic,575,112.5,130.8,135,60.3,normal,flying,Air Slash,Sky Attack,Hyper Beam,flying,flying,normal,521,139.2,96.2,120,48.6
water,poison,Poison Sting,Aqua Tail,Ice Beam,poison,water,ice,211,130.5,105.5,123,84.7,grass,none,Magical Leaf,Triple Axel,High Jump Kick,grass,ice,fighting,763,131.6,119.9,108,64.6
fighting,none,Bubble,Crabhammer,Power-Up Punch,water,water,fighting,739,135.7,99.1,122,59.6,normal,none,Tackle,Wild Charge,Stomp,normal,electric,normal,234,132.8,98.1,129,61.1
water,rock,Water Gun,Surf,Ancient Power,water,water,rock,564,113.9,132.0,130,67.2,fire,none,Fire Spin,Thunder Punch,Flamethrower,fire,electric,fire,631,133.3,91.6,136,69.5
normal,flying,Wing Attack,Air Cutter,Aerial Ace,flying,flying,flying,17,110.9,100.8,147,65.0,ghost,grass,Hex,Shadow Ball,Seed Bomb,ghost,ghost,grass,711,116.6,147.0,112,80.6
dark,ice,Ice Shard,Avalanche,Foul Play,ice,ice,dark,215,135.5,110.7,110,66.6,water,psychic,Confusion,Psyshock,Water Pulse,psychic,psychic,water,79,104.2,95.0,186,66.6
poison,dark,Poison Jab,Crunch,Sludge Bomb,poison,dark,poison,88,123.6,86.0,171,76.2,ground,steel,Mud Slap,Drill Run,Rock Slide,ground,ground,rock,530,142.7,78.8,139,75.9
rock,none,Rock Throw,Stone Edge,Rock Slide,rock,rock,rock,874,125.6,108.0,131,63.1,water,none,Bubble,Surf,Aerial Ace,water,water,flying,657,135.4,99.2,123,67.5
fire,steel,Fire Spin,Magma Storm,Stone Edge,fire,fire,rock,485,131.9,116.4,110,75.7,water,flying,Dragon Breath,Aqua Tail,Crunch,dragon,water,dark,130,130.8,108.0,121,79.7
normal,fighting,Tackle,Superpower,Stomp,normal,fighting,normal,759,125.2,90.8,157,65.4,grass,steel,Metal Claw,Iron Head,Return,steel,steel,normal,597,81.5,142.9,119,50.7
water,none,Water Gun,Aqua Jet,Ice Beam,water,water,ice,8,107.9,137.8,139,80.6,water,none,Dragon Tail,Surf,Wrap,dragon,water,normal,350,113.2,132.2,132,72.9
water,fighting,Counter,Scald,Icy Wind,fighting,water,ice,62,116.5,119.7,138,79.8,normal,flying,Peck,Drill Peck,Rock Blast,flying,flying,rock,732,134.9,95.2,129,55.3
dark,poison,Poison Sting,Aqua Tail,Shadow Ball,poison,water,ghost,211,129.5,111.3,120,82.3,normal,none,Sucker Punch,Swift,Trailblaze,dark,normal,grass,162,116.1,105.4,158,89.5
ground,none,Sand Attack,Rock Tomb,Night Slash,ghost,ice,ground,28,120.5,121.1,126,81.5,bug,poison,Confusion,Sludge Bomb,Silver Wind,psychic,poison,bug,269,95.0,148.7,142,64.5
dragon,none,Water Gun,Muddy Water,Dragon Pulse,water,water,dragon,705,115.2,132.6,127,64.7,poison,none,Infestation,Body Slam,Seed Bomb,bug,normal,grass,569,121.7,114.6,132,57.1
grass,none,Quick Attack,Leaf Blade,Last Resort,normal,grass,normal,470,128.1,133.3,102,73.5,normal,none,Zen Headbutt,Dazzling Gleam,Psychic,psychic,fairy,psychic,113,63.0,120.2,421,74.0
rock,none,Rock Throw,Rock Tomb,Rock Slide,rock,rock,rock,438,116.8,124.4,127,70.3,water,ground,Mud Shot,Earth Power,Water Pulse,ground,ground,water,536,116.6,101.6,162,72.4
ground,psychic,Mud Slap,Rock Tomb,Ice Beam,ground,rock,ice,344,102.7,173.3,121,88.4,normal,flying,Wing Attack,Brave Bird,Aerial Ace,flying,flying,flying,277,136.7,98.6,121,66.9
ice,none,Ice Shard,Triple Axel,Night Slash,ice,ice,dark,615,116.5,136.2,121,73.3,bug,fighting,Counter,Superpower,Lunge,fighting,fighting,bug,794,129.3,112.7,119,71.0
psychic,none,Confusion,Future Sight,Psychic,psychic,psychic,psychic,575,112.5,130.8,135,60.3,normal,psychic,Confusion,Psychic Fangs,Trailblaze,psychic,psychic,grass,203,129.1,102.7,129,75.1
rock,water,Fury Cutter,Stone Edge,Ancient Power,bug,rock,rock,141,135.5,121.0,100,70.6,rock,electric,Rollout,Wild Charge,Rock Blast,rock,electric,rock,76,125.2,121.7,117,76.8
fighting,none,Karate Chop,Cross Chop,Stone Edge,fighting,fighting,rock,68,136.4,97.2,124,86.3,grass,fighting,Magical Leaf,Aerial Ace,Aura Sphere,grass,flying,fighting,724,129.6,106.9,124,65.2
normal,none,Shadow Claw,Swift,Close Combat,ghost,normal,fighting,217,140.3,89.1,128,82.3,rock,none,Lock On,Stone Edge,Focus Blast,normal,rock,fighting,377,103.7,180.2,115,84.8
normal,none,Mud Shot,Body Slam,Trailblaze,ground,normal,grass,820,107.5,110.7,175,80.6,steel,flying,Steel Wing,Brave Bird,Sky Attack,steel,flying,flying,227,106.2,163.1,122,82.9
steel,rock,Metal Sound,Rock Tomb,Body Slam,steel,rock,normal,305,114.5,142.8,120,84.9,electric,ghost,Astonish,Thunderbolt,Ominous Wind,electric,electric,water,479,133.6,123.0,102,69.3
psychic,none,Sucker Punch,Psychic,Thunderbolt,dark,psychic,electric,678,117.6,124.5,130,62.4,normal,none,Bite,Stomp,Disarming Voice,dark,normal,fairy,294,125.2,80.7,178,59.5
psychic,none,Confusion,Swift,Future Sight,psychic,normal,psychic,480,102.0,176.8,122,73.4,water,electric,Bubble,Thunderbolt,Water Pulse,water,electric,water,170,101.7,94.1,164,60.3
normal,psychic,Confusion,Psychic Fangs,Trailblaze,psychic,psychic,grass,203,129.1,102.7,129,75.1,bug,flying,Bug Bite,Bug Buzz,Signal Beam,bug,bug,bug,12,126.7,111.9,124,59.2
normal,flying,Quick Attack,Fly,Close Combat,normal,flying,fighting,398,140.4,90.8,124,75.4,ice,psychic,Confusion,Ice Punch,Triple Axel,psychic,ice,ice,122,131.2,127.7,102,57.9
rock,water,Mud Shot,Rock Tomb,Rock Blast,ground,rock,rock,138,129.2,131.7,102,68.8,water,none,Water Gun,Surf,Water Pulse,water,water,water,817,137.9,91.4,128,58.9
psychic,none,Charge Beam,Psyshock,Dazzling Gleam,electric,psychic,fairy,517,105.9,89.9,166,46.6,fire,flying,Incinerate,Fly,Brave Bird,fire,flying,flying,663,122.1,114.7,131,85.4
poison,water,Poison Jab,Brine,Sludge Wave,poison,water,poison,748,92.3,222.0,118,88.1,ground,flying,Mud Shot,Earth Power,Rock Slide,ground,ground,rock,645,139.9,100.5,114,70.2
psychic,none,Hidden Power (Fighting),Psyshock,Shadow Ball,fighting,psychic,ghost,579,127.6,93.7,147,51.1,flying,steel,Sand Attack,Sky Attack,Iron Head,ground,flying,steel,823,107.6,128.1,151,91.6
bug,flying,Fury Cutter,Aerial Ace,Bug Buzz,bug,flying,bug,291,144.2,89.1,120,73.8,ice,psychic,Powder Snow,Psyshock,Ice Punch,ice,psychic,ice,238,141.2,89.1,120,70.2
ice,ground,Powder Snow,Icicle Spear,High Horsepower,ice,ice,ground,221,121.1,98.2,155,82.1,grass,none,Acid,Leaf Blade,Dazzling Gleam,poison,grass,fairy,182,115.7,132.9,126,83.3
ground,normal,Tackle,Swift,High Horsepower,normal,normal,ground,901,126.2,97.2,145,67.5,electric,normal,Volt Switch,Breaking Swipe,Parabolic Charge,electric,dragon,electric,695,137.1,112.0,105,76.4
fire,flying,Air Slash,Air Cutter,Aerial Ace,flying,flying,flying,741,130.9,101.4,128,65.6,steel,poison,Metal Sound,Overheat,Gyro Ball,steel,fire,steel,966,135.7,106.6,114,63.4
normal,none,Feint Attack,Night Slash,Power Gem,dark,dark,rock,53,118.9,115.9,136,61.3,psychic,flying,Air Slash,Air Cutter,Aerial Ace,flying,flying,flying,741,130.9,101.4,128,61.2
electric,flying,Thunder Shock,Drill Peck,Thunderbolt,electric,flying,electric,145,136.2,104.7,115,84.1,water,none,Water Gun,Water Pulse,Psychic,water,water,psychic,368,136.9,118.5,101,54.4
electric,fighting,Thunder Shock,Brick Break,Wild Charge,electric,fighting,electric,923,144.5,94.3,113,79.0,fairy,none,Fairy Wind,Moonblast,Swift,fairy,fairy,normal,36,117.2,111.5,146,86.9
fire,ghost,Ember,Fire Punch,Wild Charge,fire,fire,electric,157,139.6,105.1,109,77.3,rock,dragon,Dragon Tail,Dragon Claw,Ancient Power,dragon,dragon,rock,696,127.6,106.3,129,75.9
dark,none,Shadow Claw,Foul Play,Sludge Bomb,ghost,ghost,dark,571,157.9,86.9,103,67.0,ghost,grass,Astonish,Grass Knot,Foul Play,ghost,grass,dark,710,115.1,116.8,119,74.3
rock,electric,Rollout,Wild Charge,Rock Blast,rock,electric,rock,76,125.2,121.7,117,76.8,rock,none,Smack Down,Stone Edge,Rock Blast,rock,rock,rock,524,114.3,105.0,135,55.0
dark,none,Sucker Punch,Night Slash,Play Rough,dark,dark,fairy,828,121.7,123.1,123,84.6,psychic,none,Zen Headbutt,Shadow Ball,Return,psychic,ghost,normal,325,117.6,115.1,140,40.1
fairy,none,Tackle,Crunch,Dazzling Gleam,normal,dark,fairy,209,127.7,84.0,142,48.0,fairy,steel,Fairy Wind,Play Rough,Bulldoze,fairy,fairy,ground,959,107.3,136.3,143,88.3
normal,none,Astonish,Crunch,Disarming Voice,ghost,dark,fairy,295,119.8,98.4,158,68.3,rock,ground,Bite,Ancient Power,Dig,dark,rock,ground,247,121.1,112.7,136,55.5
dark,steel,Fury Cutter,Night Slash,X-Scissor,bug,dark,bug,624,132.0,107.8,118,80.5,fire,none,Fire Fang,Wild Charge,Psychic Fangs,fire,electric,psychic,59,132.7,104.0,122,78.5
ice,ground,Powder Snow,Icicle Spear,High Horsepower,ice,ice,ground,221,121.1,98.2,155,82.1,dragon,fighting,Dragon Tail,Clanging Scales,Dragon Claw,dragon,dragon,dragon,784,123.7,138.4,105,83.0
bug,rock,Smack Down,Rock Tomb,X-Scissor,rock,rock,bug,557,111.8,120.2,127,61.2,grass,none,Fury Cutter,Leaf Blade,Superpower,bug,grass,fighting,754,126.9,114.6,121,86.5
normal,none,Charm,Wild Charge,Disarming Voice,fairy,electric,fairy,301,112.7,115.2,153,68.1,rock,steel,Smack Down,Stone Edge,Flamethrower,rock,rock,fire,411,81.1,246.7,138,89.2
ghost,grass,Shadow Claw,Power Whip,Wrap,ghost,grass,normal,781,139.8,109.3,105,75.2,dragon,psychic,Dragon Breath,Dragon Claw,Luster Purge,dragon,dragon,psychic,381,138.4,112.9,103,70.9
water,ground,Mud Shot,Earth Power,Water Pulse,ground,ground,water,536,116.6,101.6,162,72.4,dark,none,Sucker Punch,Crunch,Poison Fang,dark,dark,poison,262,125.9,104.3,134,81.3
dark,dragon,Dragon Breath,Dark Pulse,Body Slam,dragon,dark,normal,634,121.0,109.2,140,82.6,bug,steel,Fury Cutter,X-Scissor,Techno Blast (Normal),bug,bug,normal,649,141.1,111.7,100,82.6
grass,none,Vine Whip,Grass Knot,Crunch,grass,grass,dark,512,136.6,94.5,126,65.6,psychic,none,Shadow Claw,Wild Charge,Psyshock,ghost,electric,psychic,151,120.5,119.4,129,83.1
psychic,none,Confusion,Shadow Ball,Psychic,psychic,ghost,psychic,678,117.6,124.5,130,58.6,water,grass,Bubble,Scald,Grass Knot,water,water,grass,271,106.7,112.6,142,61.8
grass,poison,Vine Whip,Power Whip,Sludge Bomb,grass,grass,poison,2,118.6,121.7,130,74.9,poison,dark,Poison Jab,Dark Pulse,Acid Spray,poison,dark,poison,89,117.3,111.3,146,74.5
rock,none,Rock Throw,Rock Tomb,Rock Slide,rock,rock,rock,438,116.8,124.4,127,70.3,fairy,none,Charm,Psychic Fangs,Body Slam,fairy,psychic,normal,927,113.1,156.9,111,85.3
fighting,poison,Poison Jab,Close Combat,Aerial Ace,poison,fighting,flying,215,135.5,110.7,110,73.5,water,none,Water Gun,Aqua Tail,Crunch,water,water,dark,367,131.5,126.3,102,70.7
ice,flying,Ice Shard,Triple Axel,Ancient Power,ice,ice,rock,144,113.2,143.6,122,70.7,normal,grass,Tackle,Wild Charge,Trailblaze,normal,electric,grass,585,109.2,96.6,142,55.7
grass,poison,Acid,Power Whip,Sludge Bomb,poison,grass,poison,70,137.8,84.3,139,69.0,psychic,none,Confusion,Swift,Future Sight,psychic,normal,psychic,481,124.1,125.8,116,62.3
ghost,grass,Shadow Claw,Power Whip,Wrap,ghost,grass,normal,781,139.8,109.3,105,75.2,water,none,Water Gun,Aqua Tail,Crunch,water,water,dark,367,131.5,126.3,102,70.7
fire,none,Fire Spin,Thunder Punch,Flamethrower,fire,electric,fire,631,133.3,91.6,136,69.5,normal,none,Sand Attack,Wild Charge,Crunch,ground,electric,dark,508,125.8,114.7,124,72.5
fire,none,Ember,Psyshock,Flame Charge,fire,psychic,fire,654,130.4,106.7,123,75.0,fighting,none,Force Palm,Brick Break,Brutal Swing,fighting,fighting,dark,620,156.5,84.8,106,75.8
normal,flying,Wing Attack,Brave Bird,Aerial Ace,flying,flying,flying,277,136.7,98.6,121,66.9,fighting,none,Poison Jab,Body Slam,Brick Break,poison,normal,fighting,539,141.0,99.8,113,63.5
normal,none,Fury Cutter,Close Combat,Night Slash,bug,fighting,dark,335,144.8,87.1,122,78.2,psychic,none,Confusion,Swift,Future Sight,psychic,normal,psychic,481,124.1,125.8,116,62.3
fighting,none,Tackle,Body Slam,Crunch,normal,normal,dark,674,123.3,100.2,147,57.9,dark,none,Snarl,Brutal Swing,Megahorn,dark,dark,bug,359,157.9,82.7,109,63.9
electric,grass,Thunder Shock,Wild Charge,Swift,electric,electric,normal,101,123.3,130.1,113,84.3,poison,normal,Mud Slap,Poison Fang,Sludge Bomb,ground,poison,poison,945,134.9,106.5,115,77.7
water,psychic,Confusion,Aqua Tail,Psychic Fangs,psychic,water,psychic,779,137.3,100.4,118,74.4,grass,poison,Acid,Sludge Bomb,Moonblast,poison,poison,fairy,44,122.6,114.9,130,70.7
rock,water,Fury Cutter,Stone Edge,Ancient Power,bug,rock,rock,141,135.5,121.0,100,70.6,water,none,Poison Jab,Drill Run,Icy Wind,poison,ground,ice,119,123.1,105.9,140,75.8
normal,none,Astonish,Crunch,Disarming Voice,ghost,dark,fairy,295,119.8,98.4,158,68.3,poison,none,Infestation,Sludge,Dark Pulse,bug,poison,dark,109,112.6,131.1,113,57.8
fighting,flying,Poison Jab,Flying Press,Aerial Ace,poison,fighting,flying,701,128.9,108.8,124,78.9,fighting,none,Counter,Brutal Swing,Brick Break,fighting,dark,fighting,766,129.9,100.5,132,76.3
rock,bug,Struggle Bug,Aqua Jet,Ancient Power,bug,water,rock,347,147.0,92.1,113,44.7,bug,steel,Bug Bite,X-Scissor,Stone Edge,bug,bug,rock,632,135.9,121.2,100,72.8
bug,electric,Fury Cutter,Discharge,Lunge,bug,electric,bug,596,139.0,93.8,124,79.3,dark,psychic,Psywave,Superpower,Foul Play,psychic,fighting,dark,687,118.5,117.1,136,88.7
electric,dark,Thunder Shock,Aura Wheel,Psychic Fangs,electric,electric,psychic,877,141.7,97.8,114,90.1,ice,steel,Powder Snow,Night Slash,Blizzard,ice,dark,ice,27,117.6,121.0,127,75.8
ghost,none,Shadow Claw,Shadow Ball,Dazzling Gleam,ghost,ghost,fairy,354,146.8,89.3,117,63.9,rock,none,Lock On,Stone Edge,Focus Blast,normal,rock,fighting,377,103.7,180.2,115,84.8
fighting,dark,Sucker Punch,Brick Break,Dynamic Punch,dark,fighting,fighting,892,136.6,97.8,121,82.4,rock,none,Lock On,Stone Edge,Focus Blast,normal,rock,fighting,377,103.7,180.2,115,84.8
bug,poison,Poison Sting,X-Scissor,Megahorn,poison,bug,bug,545,132.6,121.1,105,74.5,ground,psychic,Mud Slap,Rock Tomb,Ice Beam,ground,rock,ice,344,102.7,173.3,121,88.4
normal,none,Sand Attack,Wild Charge,Crunch,ground,electric,dark,508,125.8,114.7,124,72.5,water,psychic,Water Gun,Surf,Psychic,poison,water,ghost,199,113.4,120.9,143,67.2
dragon,none,Dragon Breath,Aqua Tail,Thunder Punch,dragon,water,electric,706,119.7,136.8,114,85.5,normal,flying,Fury Cutter,Leaf Blade,Aerial Ace,bug,grass,flying,83,116.8,109.2,131,83.5
ground,none,Tackle,Trailblaze,Body Slam,normal,grass,normal,231,102.5,95.0,186,61.5,fire,none,Ember,Fire Punch,Return,fire,fire,normal,5,127.1,109.1,127,70.9
water,ground,Mud Shot,Hydro Cannon,Sludge,ground,water,poison,260,123.0,108.6,136,86.4,ground,rock,Mud Slap,Breaking Swipe,Rock Wrecker,ground,dragon,rock,464,126.8,105.5,132,77.9
water,psychic,Confusion,Psyshock,Water Pulse,psychic,psychic,water,79,104.2,95.0,186,66.6,psychic,flying,Air Slash,Brave Bird,Fly,flying,flying,flying,628,128.6,89.1,151,58.5
dragon,ground,Dragon Tail,Crunch,Earthquake,dragon,dark,ground,718,138.1,119.1,98,64.4,normal,none,Double Kick,Body Slam,Payback,fighting,normal,dark,832,111.0,141.7,128,78.6
fire,none,Ember,Flame Charge,Stomp,fire,fire,normal,77,134.8,109.4,113,71.1,grass,dark,Snarl,Leaf Blade,Foul Play,dark,grass,dark,275,134.2,87.7,142,73.6
dark,ice,Ice Shard,Avalanche,Foul Play,ice,ice,dark,215,135.5,110.7,110,66.6,water,none,Water Gun,Water Pulse,Psychic,water,water,psychic,368,136.9,118.5,101,54.4
water,psychic,Confusion,Aqua Tail,Psychic Fangs,psychic,water,psychic,779,137.3,100.4,118,74.4,dark,dragon,Dragon Breath,Brutal Swing,Flash Cannon,dragon,dark,steel,635,136.6,103.5,116,79.9
ground,none,Mud Slap,Mud Bomb,Stone Edge,ground,ground,rock,51,136.4,120.5,99,76.4,ground,flying,Fury Cutter,Earthquake,Aerial Ace,bug,ground,flying,472,115.7,143.9,116,85.7
grass,poison,Vine Whip,Power Whip,Sludge Bomb,grass,grass,poison,1,111.8,105.9,120,58.7,ground,ghost,Mud Slap,Shadow Punch,Dynamic Punch,ground,ghost,fighting,623,133.9,96.7,129,87.3
dragon,none,Dragon Breath,Aqua Tail,Wrap,dragon,water,normal,148,126.0,111.0,127,83.5,grass,none,Razor Leaf,Grass Knot,Earth Power,grass,grass,ground,812,133.5,97.7,129,66.0
flying,none,Air Slash,Grass Knot,Hurricane,flying,grass,flying,641,147.6,97.1,106,48.6,rock,water,Mud Shot,Aqua Jet,Rock Tomb,ground,water,rock,140,133.6,128.6,97,73.3
dark,normal,Counter,Night Slash,Cross Chop,fighting,dark,fighting,862,112.6,126.7,138,75.8,poison,none,Poison Jab,Thunder Punch,Dark Pulse,poison,dark,poison,89,117.3,111.3,146,76.2
normal,psychic,Confusion,Brutal Swing,Trailblaze,psychic,dark,grass,765,110.9,131.2,139,81.1,poison,none,Rollout,Sludge Bomb,Shadow Ball,fairy,poison,dark,110,117.0,138.9,117,71.7
fire,none,Karate Chop,Fire Punch,Scorching Sands,fighting,fire,ground,126,136.6,107.5,112,77.0,poison,ground,Poison Sting,Earth Power,Poison Fang,poison,ground,poison,31,117.8,116.5,139,84.9
fighting,dark,Karate Chop,Close Combat,Night Slash,fighting,fighting,dark,675,134.5,92.0,134,89.5,water,none,Water Gun,Cross Chop,Liquidation,water,fighting,water,55,125.5,112.2,127,73.0
ice,none,Rollout,Avalanche,Shadow Ball,rock,ice,ghost,362,115.2,120.1,140,82.0,fairy,none,Fairy Wind,Moonblast,Swift,fairy,fairy,normal,36,117.2,111.5,146,86.9
fire,flying,Ember,Blast Burn,Dragon Claw,fire,fire,dragon,6,132.2,108.3,117,78.5,bug,steel,Fury Cutter,X-Scissor,Techno Blast (Normal),bug,bug,normal,649,141.1,111.7,100,82.6
ice,steel,Powder Snow,Night Slash,Blizzard,ice,dark,ice,27,117.6,121.0,127,75.8,psychic,none,Confusion,Future Sight,Psychic,psychic,psychic,psychic,575,112.5,130.8,135,60.3
electric,none,Volt Switch,Brutal Swing,Trailblaze,electric,dark,grass,181,127.4,106.8,129,77.8,water,ghost,Hex,Surf,Shadow Ball,ghost,water,ghost,593,106.7,124.3,157,92.8
water,psychic,Water Gun,Surf,Psychic,poison,water,ghost,199,113.4,120.9,143,67.2,grass,none,Vine Whip,Body Slam,Energy Ball,grass,normal,grass,651,115.4,130.0,129,74.1
water,none,Mud Slap,Mud Bomb,Body Slam,ground,ground,normal,422,99.2,100.8,166,68.4,fighting,none,Tackle,Body Slam,Crunch,normal,normal,dark,674,123.3,100.2,147,57.9
psychic,flying,Air Slash,Air Cutter,Ancient Power,flying,flying,rock,561,131.6,114.0,114,61.8,ice,none,Ice Fang,Ice Punch,Ice Beam,ice,ice,ice,554,132.0,83.5,154,68.2
ground,ghost,Mud Slap,Shadow Punch,Brick Break,ground,ghost,fighting,622,119.3,89.9,141,78.8,normal,psychic,Confusion,Brutal Swing,Trailblaze,psychic,dark,grass,765,110.9,131.2,139,81.1
ice,rock,Powder Snow,Rock Slide,Icy Wind,ice,rock,ice,713,117.0,134.7,121,76.3,rock,water,Mud Shot,Rock Slide,Hydro Pump,ground,rock,water,139,126.1,128.4,109,61.2
normal,none,Feint Attack,Night Slash,Power Gem,dark,dark,rock,53,118.9,115.9,136,61.3,bug,flying,Bug Bite,Aerial Ace,Bug Buzz,bug,flying,bug,414,140.0,83.0,137,65.6
rock,dragon,Dragon Tail,Dragon Claw,Ancient Power,dragon,dragon,rock,696,127.6,106.3,129,75.9,rock,water,Fury Cutter,Stone Edge,Ancient Power,bug,rock,rock,141,135.5,121.0,100,70.6
water,none,Waterfall,Hydro Pump,Blizzard,water,water,ice,594,96.7,98.8,240,73.9,electric,none,Thunder Shock,Ice Punch,Wild Charge,electric,ice,electric,466,144.0,98.0,110,82.9
ground,normal,Tackle,Swift,High Horsepower,normal,normal,ground,901,126.2,97.2,145,67.5,psychic,none,Counter,Psycho Boost,Thunderbolt,fighting,psychic,electric,386,101.0,221.5,98,75.5
bug,steel,Bullet Punch,Night Slash,Trailblaze,steel,dark,grass,212,137.9,110.3,106,87.2,fire,none,Ember,Fire Punch,Return,fire,fire,normal,5,127.1,109.1,127,70.9
normal,none,Mud Shot,Swift,Crunch,ground,normal,dark,925,117.3,123.7,132,71.7,water,rock,Water Gun,Surf,Ancient Power,water,water,rock,564,113.9,132.0,130,67.2
grass,ghost,Astonish,Frenzy Plant,Spirit Shackle,ghost,grass,ghost,724,127.8,115.3,118,80.4,grass,none,Quick Attack,Leaf Blade,Last Resort,normal,grass,normal,470,128.1,133.3,102,73.5
ghost,grass,Hex,Shadow Ball,Seed Bomb,ghost,ghost,grass,711,116.6,147.0,112,80.6,bug,flying,Bug Bite,Dynamic Punch,Aerial Ace,bug,fighting,flying,166,101.9,161.2,134,83.2
poison,none,Poison Sting,Poison Fang,Thunderbolt,poison,poison,electric,30,110.9,113.4,157,81.1,bug,none,Fury Cutter,X-Scissor,Drill Run,bug,bug,ground,588,127.7,85.7,127,71.4
ghost,ground,Astonish,Scorching Sands,Shadow Ball,ghost,ground,ghost,770,116.6,120.4,136,75.6,dark,dragon,Dragon Breath,Brutal Swing,Flash Cannon,dragon,dark,steel,635,136.6,103.5,116,79.9
poison,none,Poison Sting,Sludge Bomb,Dig,poison,poison,ground,33,124.2,103.7,140,70.0,water,none,Water Gun,Aqua Jet,Crabhammer,water,water,water,692,103.4,110.9,127,60.6
dark,dragon,Dragon Breath,Dark Pulse,Body Slam,dragon,dark,normal,634,121.0,109.2,140,82.6,psychic,flying,Confusion,Fly,Psychic Fangs,psychic,flying,psychic,528,126.9,100.9,138,73.1
dragon,ground,Mud Shot,Dig,Flamethrower,ground,ground,fire,444,128.8,101.0,133,64.1,normal,psychic,Confusion,Psychic Fangs,Trailblaze,psychic,psychic,grass,203,129.1,102.7,129,75.1
ghost,ground,Astonish,Scorching Sands,Shadow Ball,ghost,ground,ghost,770,116.6,120.4,136,75.6,water,none,Water Gun,Body Slam,Water Pulse,water,normal,water,366,124.4,126.0,105,63.6
water,none,Water Gun,Aqua Jet,Crunch,water,water,dark,158,110.9,104.2,127,59.9,electric,steel,Volt Switch,Wild Charge,Mirror Shot,electric,electric,steel,462,134.9,120.1,102,83.4
grass,fighting,Magical Leaf,Aerial Ace,Aura Sphere,grass,flying,fighting,724,129.6,106.9,124,65.2,bug,rock,Fury Cutter,X-Scissor,Rock Slide,bug,bug,rock,558,120.9,134.1,114,81.9
