Pokemon,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2
Shellder,90,Water,None,116,134,102,558173.4455909497,50.0,957,ICE_SHARD,BUBBLE_BEAM,ICY_WIND
Shellder (Shadow),90,Water,None,116,134,102,558173.4455909497,50.0,957,ICE_SHARD,BUBBLE_BEAM,ICY_WIND
Cloyster,91,Water,Ice,186,256,137,512477.8419780943,24.0,1491,FROST_BREATH,AURORA_BEAM,AVALANCHE
Cloyster (Shadow),91,Water,Ice,186,256,137,512477.8419780943,24.0,1491,FROST_BREATH,AURORA_BEAM,AVALANCHE
Gastly,92,Ghost,Poison,186,67,102,447501.1244823994,50.0,1085,ASTONISH,DARK_PULSE,NIGHT_SHADE
Gastly (Shadow),92,Ghost,Poison,186,67,102,447501.1244823994,50.0,1085,ASTONISH,DARK_PULSE,NIGHT_SHADE
Haunter,93,Ghost,Poison,223,107,128,568781.1297369263,34.0,1490,ASTONISH,DARK_PULSE,SHADOW_BALL
Haunter (Shadow),93,Ghost,Poison,223,107,128,568781.1297369263,34.0,1490,ASTONISH,DARK_PULSE,SHADOW_BALL
Gengar,94,Ghost,Poison,261,149,155,317202.5196314477,21.0,1486,HEX,DARK_PULSE,FOCUS_BLAST
Gengar (Mega),94,Ghost,Poison,349,199,155,150568.37512830738,13.5,1476,HEX,DARK_PULSE,FOCUS_BLAST
Gengar (Shadow),94,Ghost,Poison,261,149,155,317202.5196314477,21.0,1486,HEX,DARK_PULSE,FOCUS_BLAST
Onix,95,Rock,Ground,85,232,111,770612.5927934755,50.0,963,ROCK_THROW,HEAVY_SLAM,IRON_HEAD
Onix (Shadow),95,Rock,Ground,85,232,111,770612.5927934755,50.0,963,ROCK_THROW,HEAVY_SLAM,IRON_HEAD
Drowzee,96,Psychic,None,89,136,155,660490.8802476542,50.0,912,CONFUSION,PSYBEAM,PSYCHIC
Drowzee (Shadow),96,Psychic,None,89,136,155,660490.8802476542,50.0,912,CONFUSION,PSYBEAM,PSYCHIC
Hypno,97,Psychic,None,144,193,198,802936.239095679,29.5,1481,CONFUSION,FOCUS_BLAST,FUTURE_SIGHT
Hypno (Shadow),97,Psychic,None,144,193,198,802936.239095679,29.5,1481,CONFUSION,FOCUS_BLAST,FUTURE_SIGHT
Krabby,98,Water,None,181,124,102,805947.2988190476,50.0,1437,BUBBLE,BUBBLE_BEAM,VICE_GRIP
Kingler,99,Water,None,240,181,146,358168.36083196034,21.5,1496,BUBBLE,VICE_GRIP,WATER_PULSE
Voltorb,100,Electric,None,109,111,120,511136.54734983057,50.0,888,SPARK,DISCHARGE,GYRO_BALL
Voltorb (Hisuian),100,Grass,Electric,109,111,120,511136.54734983057,50.0,888,CHARGE_BEAM,SWIFT,THUNDERBOLT
Voltorb (Shadow),100,Electric,None,109,111,120,511136.54734983057,50.0,888,SPARK,DISCHARGE,GYRO_BALL
Electrode,101,Electric,None,173,173,155,676892.9214576064,29.5,1491,SPARK,DISCHARGE,HYPER_BEAM
Electrode (Hisuian),101,Electric,Grass,176,176,155,631701.8869569601,28.5,1478,THUNDER_SHOCK,SWIFT,WILD_CHARGE
Electrode (Shadow),101,Electric,None,173,173,155,676892.9214576064,29.5,1491,SPARK,DISCHARGE,HYPER_BEAM
Exeggcute,102,Grass,Psychic,107,125,155,729846.7881123904,50.0,1051,BULLET_SEED,ANCIENT_POWER,PSYCHIC
Exeggcute (Shadow),102,Grass,Psychic,107,125,155,729846.7881123904,50.0,1051,BULLET_SEED,ANCIENT_POWER,PSYCHIC
Exeggutor,103,Grass,Psychic,233,149,216,340868.83304137405,20.0,1491,BULLET_SEED,PSYCHIC,SEED_BOMB
Exeggutor (Alolan),103,Grass,Dragon,230,153,216,345512.9831127676,20.0,1492,BULLET_SEED,DRAGON_PULSE,SEED_BOMB
Exeggutor (Alolan) (Shadow),103,Grass,Dragon,230,153,216,345512.9831127676,20.0,1492,BULLET_SEED,DRAGON_PULSE,SEED_BOMB
Exeggutor (Shadow),103,Grass,Psychic,233,149,216,340868.83304137405,20.0,1491,BULLET_SEED,PSYCHIC,SEED_BOMB
Cubone,104,Ground,None,90,144,137,625074.4982716003,50.0,892,MUD_SLAP,BONE_CLUB,BULLDOZE
Cubone (Shadow),104,Ground,None,90,144,137,625074.4982716003,50.0,892,MUD_SLAP,BONE_CLUB,BULLDOZE
Marowak,105,Ground,None,144,186,155,947868.2664261463,38.5,1494,MUD_SLAP,BONE_CLUB,DIG
Marowak (Alolan),105,Fire,Ghost,144,186,155,947868.2664261463,38.5,1494,HEX,BONE_CLUB,FIRE_BLAST
Marowak (Alolan) (Shadow),105,Fire,Ghost,144,186,155,947868.2664261463,38.5,1494,HEX,BONE_CLUB,FIRE_BLAST
Marowak (Shadow),105,Ground,None,144,186,155,947868.2664261463,38.5,1494,MUD_SLAP,BONE_CLUB,DIG
Hitmonlee,106,Fighting,None,224,181,137,409648.7293155676,23.5,1479,LOW_KICK,BRICK_BREAK,CLOSE_COMBAT
Hitmonlee (Shadow),106,Fighting,None,224,181,137,409648.7293155676,23.5,1479,LOW_KICK,BRICK_BREAK,CLOSE_COMBAT
Hitmonchan,107,Fighting,None,193,197,137,550910.4969665807,26.5,1499,BULLET_PUNCH,BRICK_BREAK,CLOSE_COMBAT
Hitmonchan (Shadow),107,Fighting,None,193,197,137,550910.4969665807,26.5,1499,BULLET_PUNCH,BRICK_BREAK,CLOSE_COMBAT
Lickitung,108,Normal,None,108,137,207,1078253.5095185107,50.0,1284,LICK,HYPER_BEAM,POWER_WHIP
Koffing,109,Poison,None,119,141,120,708848.6757569062,50.0,1092,ACID,DARK_PULSE,SLUDGE
Koffing (Shadow),109,Poison,None,119,141,120,708848.6757569062,50.0,1092,INFESTATION,DARK_PULSE,SLUDGE
Weezing,110,Poison,None,174,197,163,590935.4228269039,26.5,1474,ACID,DARK_PULSE,SHADOW_BALL
Weezing (Galarian),110,Poison,Fairy,174,197,163,590935.4228269039,26.5,1474,TACKLE,SLUDGE,HYPER_BEAM
Weezing (Galarian) (Shadow),110,Poison,Fairy,174,197,163,590935.4228269039,26.5,1474,TACKLE,SLUDGE,HYPER_BEAM
Weezing (Shadow),110,Poison,None,174,197,163,590935.4228269039,26.5,1474,INFESTATION,DARK_PULSE,SHADOW_BALL
Rhyhorn,111,Ground,Rock,140,127,190,1106867.450792092,48.0,1499,MUD_SLAP,BULLDOZE,HORN_ATTACK
Rhyhorn (Shadow),111,Ground,Rock,140,127,190,1106867.450792092,48.0,1499,MUD_SLAP,BULLDOZE,HORN_ATTACK
Rhydon,112,Ground,Rock,222,171,233,318242.98789685685,18.5,1462,MUD_SLAP,EARTHQUAKE,MEGAHORN
Rhydon (Shadow),112,Ground,Rock,222,171,233,318242.98789685685,18.5,1462,MUD_SLAP,EARTHQUAKE,MEGAHORN
Chansey,113,Normal,None,60,128,487,1316728.9782460963,50.0,1057,POUND,DAZZLING_GLEAM,HYPER_BEAM
Tangela,114,Grass,None,183,169,163,595845.5528586118,27.5,1490,INFESTATION,GRASS_KNOT,POWER_WHIP
Tangela (Shadow),114,Grass,None,183,169,163,595845.5528586118,27.5,1490,INFESTATION,GRASS_KNOT,POWER_WHIP
Kangaskhan,115,Normal,None,181,165,233,513195.5617354339,23.5,1488,LOW_KICK,BRICK_BREAK,CRUNCH
Kangaskhan (Mega),115,Normal,None,246,210,233,230907.69154489995,15.0,1456,LOW_KICK,BRICK_BREAK,CRUNCH
Horsea,116,Water,None,129,103,102,477126.25910749804,50.0,933,BUBBLE,BUBBLE_BEAM,DRAGON_PULSE
Horsea (Shadow),116,Water,None,129,103,102,477126.25910749804,50.0,933,BUBBLE,BUBBLE_BEAM,DRAGON_PULSE
Seadra,117,Water,None,187,156,146,621462.7876286025,29.5,1485,DRAGON_BREATH,AURORA_BEAM,BLIZZARD
Seadra (Shadow),117,Water,None,187,156,146,621462.7876286025,29.5,1485,DRAGON_BREATH,AURORA_BEAM,BLIZZARD
Goldeen,118,Water,None,123,110,128,609696.8882843833,50.0,1030,MUD_SHOT,AQUA_TAIL,HORN_ATTACK
Seaking,119,Water,None,175,147,190,643078.6994247121,28.5,1487,PECK,DRILL_RUN,ICE_BEAM
Staryu,120,Water,None,137,112,102,550991.594772744,50.0,1033,QUICK_ATTACK,BUBBLE_BEAM,POWER_GEM
Starmie,121,Water,Psychic,210,184,155,441705.96846695116,23.5,1487,HIDDEN_POWER_BUG,HYDRO_PUMP,ICE_BEAM
Mr. Mime,122,Psychic,Fairy,192,205,120,558270.4483131354,27.5,1477,CONFUSION,PSYBEAM,PSYCHIC
Mr. Mime (Galarian),122,Ice,Psychic,183,169,137,650214.56216435,30.0,1490,CONFUSION,PSYBEAM,PSYCHIC
Scyther,123,Bug,Flying,218,170,172,412597.8616704422,22.5,1496,AIR_SLASH,AERIAL_ACE,BUG_BUZZ
Scyther (Shadow),123,Bug,Flying,218,170,172,412597.8616704422,22.5,1496,AIR_SLASH,AERIAL_ACE,BUG_BUZZ
Jynx,124,Ice,Psychic,223,151,163,431192.3334957219,24.0,1498,CONFUSION,AVALANCHE,DRAINING_KISS
Electabuzz,125,Electric,None,198,158,163,509358.4599900108,26.0,1474,LOW_KICK,THUNDER,THUNDER_PUNCH
Electabuzz (Shadow),125,Electric,None,198,158,163,509358.4599900108,26.0,1474,LOW_KICK,THUNDER,THUNDER_PUNCH
Magmar,126,Fire,None,206,154,163,487285.6653196918,25.5,1485,EMBER,FIRE_BLAST,FIRE_PUNCH
Magmar (Shadow),126,Fire,None,206,154,163,487285.6653196918,25.5,1485,EMBER,FIRE_BLAST,FIRE_PUNCH
Pinsir,127,Bug,None,238,182,163,345611.1163559424,20.5,1499,BUG_BITE,CLOSE_COMBAT,SUBMISSION
Pinsir (Mega),127,Bug,Flying,305,231,163,179135.47534455903,14.0,1478,BUG_BITE,CLOSE_COMBAT,SUBMISSION
Pinsir (Shadow),127,Bug,None,238,182,163,345611.1163559424,20.5,1499,BUG_BITE,CLOSE_COMBAT,SUBMISSION
Tauros,128,Normal,None,198,183,181,453452.5374649015,23.0,1479,TACKLE,EARTHQUAKE,HORN_ATTACK
Tauros (Aqua),128,Fighting,Water,210,193,181,386040.91211461666,21.0,1470,TACKLE,EARTHQUAKE,AQUA_JET
Tauros (Blaze),128,Fighting,Fire,210,193,181,386040.91211461666,21.0,1470,TACKLE,EARTHQUAKE,FLAME_CHARGE
Tauros (Combat),128,Fighting,None,210,193,181,386040.91211461666,21.0,1470,TACKLE,EARTHQUAKE,CLOSE_COMBAT
Magikarp,129,Water,None,29,85,85,73763.59277865474,50.0,174,SPLASH,STRUGGLE,none
Magikarp (Shadow),129,Water,None,29,85,85,73763.59277865474,50.0,174,SPLASH,STRUGGLE,none
Gyarados,130,Water,Flying,237,186,216,289998.66759799403,17.5,1483,BITE,CRUNCH,DRAGON_PULSE
Gyarados (Mega),130,Water,Dark,292,247,216,153068.06513631152,12.0,1444,BITE,CRUNCH,DRAGON_PULSE
Gyarados (Shadow),130,Water,Flying,237,186,216,289998.66759799403,17.5,1483,BITE,CRUNCH,DRAGON_PULSE
Lapras,131,Water,Ice,165,174,277,549857.2341659201,23.0,1486,FROST_BREATH,BLIZZARD,DRAGON_PULSE
Lapras (Shadow),131,Water,Ice,165,174,277,549857.2341659201,23.0,1486,FROST_BREATH,BLIZZARD,DRAGON_PULSE
Ditto,132,Normal,None,91,91,134,390655.3670502582,50.0,709,TRANSFORM,STRUGGLE,none
Eevee,133,Normal,None,104,114,146,609392.7157791418,50.0,947,QUICK_ATTACK,BODY_SLAM,DIG
Vaporeon,134,Water,None,205,161,277,356324.65085603663,19.0,1467,WATER_GUN,AQUA_TAIL,HYDRO_PUMP
Jolteon,135,Electric,None,232,182,163,362180.5565374526,21.0,1497,THUNDER_SHOCK,DISCHARGE,LAST_RESORT
Flareon,136,Fire,None,246,179,163,326262.4519588346,20.0,1499,EMBER,FIRE_BLAST,FLAMETHROWER
Porygon,137,Normal,None,153,136,163,960048.1369941484,44.0,1495,CHARGE_BEAM,DISCHARGE,HYPER_BEAM
Porygon (Shadow),137,Normal,None,153,136,163,960048.1369941484,44.0,1495,CHARGE_BEAM,DISCHARGE,HYPER_BEAM
Omanyte,138,Rock,Water,155,153,111,926728.0749542227,50.0,1426,MUD_SHOT,ANCIENT_POWER,BRINE
Omanyte (Shadow),138,Rock,Water,155,153,111,926728.0749542227,50.0,1426,MUD_SHOT,ANCIENT_POWER,BRINE
Omastar,139,Rock,Water,207,201,172,404147.03482228424,21.5,1476,MUD_SHOT,ANCIENT_POWER,HYDRO_PUMP
Omastar (Shadow),139,Rock,Water,207,201,172,404147.03482228424,21.5,1476,MUD_SHOT,ANCIENT_POWER,HYDRO_PUMP
Kabuto,140,Rock,Water,148,140,102,744039.7447661142,50.0,1248,MUD_SHOT,ANCIENT_POWER,AQUA_JET
Kabutops,141,Rock,Water,220,186,155,410544.68514774076,22.5,1499,FURY_CUTTER,ANCIENT_POWER,STONE_EDGE
Aerodactyl,142,Rock,Flying,221,159,190,377040.10348742845,21.5,1473,BITE,ANCIENT_POWER,HYPER_BEAM
Aerodactyl (Mega),142,Rock,Flying,292,210,190,181734.72743942536,14.0,1457,BITE,ANCIENT_POWER,HYPER_BEAM
Aerodactyl (Shadow),142,Rock,Flying,221,159,190,377040.10348742845,21.5,1473,BITE,ANCIENT_POWER,HYPER_BEAM
Snorlax,143,Normal,None,190,169,330,381248.4466227538,18.5,1481,LICK,BODY_SLAM,EARTHQUAKE
Snorlax (Shadow),143,Normal,None,190,169,330,381248.4466227538,18.5,1481,LICK,BODY_SLAM,EARTHQUAKE
Articuno,144,Ice,Flying,192,236,207,395185.11608761846,19.5,1476,FROST_BREATH,BLIZZARD,HURRICANE
Articuno (Galarian),144,Psychic,Flying,250,197,207,260271.77723320146,16.5,1486,CONFUSION,FUTURE_SIGHT,ANCIENT_POWER
Articuno (Shadow),144,Ice,Flying,192,236,207,395185.11608761846,19.5,1476,FROST_BREATH,BLIZZARD,HURRICANE
Zapdos,145,Electric,Flying,253,185,207,247350.6707289339,16.5,1457,CHARGE_BEAM,THUNDER,THUNDERBOLT
Zapdos (Galarian),145,Fighting,Flying,252,189,207,251699.98387945013,16.5,1467,COUNTER,CLOSE_COMBAT,ANCIENT_POWER
Zapdos (Shadow),145,Electric,Flying,253,185,207,247350.6707289339,16.5,1457,CHARGE_BEAM,THUNDER,THUNDERBOLT
Moltres,146,Fire,Flying,251,181,207,262573.95659417793,17.0,1473,FIRE_SPIN,FIRE_BLAST,HEAT_WAVE
Moltres (Galarian),146,Dark,Flying,202,231,207,376461.05667794426,19.0,1497,SUCKER_PUNCH,PAYBACK,ANCIENT_POWER
Moltres (Shadow),146,Fire,Flying,251,181,207,262573.95659417793,17.0,1473,FIRE_SPIN,FIRE_BLAST,HEAT_WAVE
Dratini,147,Dragon,None,119,91,121,461296.2629290362,50.0,881,DRAGON_BREATH,AQUA_TAIL,TWISTER
Dratini (Shadow),147,Dragon,None,119,91,121,461296.2629290362,50.0,881,DRAGON_BREATH,AQUA_TAIL,TWISTER
Dragonair,148,Dragon,None,163,135,156,868624.1480591359,41.0,1496,DRAGON_BREATH,AQUA_TAIL,DRAGON_PULSE
Dragonair (Shadow),148,Dragon,None,163,135,156,868624.1480591359,41.0,1496,DRAGON_BREATH,AQUA_TAIL,DRAGON_PULSE
Dragonite,149,Dragon,Flying,263,198,209,230354.5939405193,15.5,1479,DRAGON_BREATH,DRACO_METEOR,DRAGON_CLAW
Dragonite (Shadow),149,Dragon,Flying,263,198,209,230354.5939405193,15.5,1479,DRAGON_BREATH,DRACO_METEOR,DRAGON_CLAW
Mewtwo,150,Psychic,None,300,182,214,182258.83624242299,14.0,1479,CONFUSION,FLAMETHROWER,FOCUS_BLAST
Mewtwo (Armored),150,Psychic,None,182,278,214,389568.4654775269,18.5,1465,CONFUSION,DYNAMIC_PUNCH,ROCK_SLIDE
Mewtwo (Shadow),150,Psychic,None,300,182,214,182258.83624242299,14.0,1479,CONFUSION,FLAMETHROWER,FOCUS_BLAST
Mew,151,Psychic,None,210,210,225,328844.8630540664,18.0,1466,CHARGE_BEAM,ANCIENT_POWER,BLIZZARD
Chikorita,152,Grass,None,92,122,128,505782.54797516036,50.0,811,TACKLE,BODY_SLAM,ENERGY_BALL
Chikorita (Shadow),152,Grass,None,92,122,128,505782.54797516036,50.0,811,TACKLE,BODY_SLAM,ENERGY_BALL
Bayleef,153,Grass,None,122,155,155,1031880.5804265648,50.0,1335,RAZOR_LEAF,ANCIENT_POWER,ENERGY_BALL
Bayleef (Shadow),153,Grass,None,122,155,155,1031880.5804265648,50.0,1335,RAZOR_LEAF,ANCIENT_POWER,ENERGY_BALL
Meganium,154,Grass,None,168,202,190,607606.4035966116,25.5,1497,RAZOR_LEAF,EARTHQUAKE,FRENZY_PLANT
Meganium (Shadow),154,Grass,None,168,202,190,607606.4035966116,25.5,1497,RAZOR_LEAF,EARTHQUAKE,FRENZY_PLANT
Cyndaquil,155,Fire,None,116,93,118,448155.9402922946,50.0,858,EMBER,FLAME_CHARGE,FLAMETHROWER
Cyndaquil (Shadow),155,Fire,None,116,93,118,448155.9402922946,50.0,858,EMBER,FLAME_CHARGE,FLAMETHROWER
Quilava,156,Fire,None,158,126,151,967317.2132900385,47.5,1493,EMBER,DIG,FLAME_CHARGE
Quilava (Shadow),156,Fire,None,158,126,151,967317.2132900385,47.5,1493,EMBER,DIG,FLAME_CHARGE
Typhlosion,157,Fire,None,223,173,186,377608.7635535484,21.0,1499,EMBER,BLAST_BURN,FIRE_BLAST
Typhlosion (Hisuian),157,Fire,Ghost,238,172,177,329359.3702146881,20.0,1482,EMBER,FIRE_PUNCH,WILD_CHARGE
Typhlosion (Shadow),157,Fire,None,223,173,186,377608.7635535484,21.0,1499,EMBER,BLAST_BURN,FIRE_BLAST
Totodile,158,Water,None,117,109,137,615090.6694797623,50.0,1009,SCRATCH,AQUA_JET,CRUNCH
Totodile (Shadow),158,Water,None,117,109,137,615090.6694797623,50.0,1009,SCRATCH,AQUA_JET,CRUNCH
Croconaw,159,Water,None,150,142,163,982748.2371191542,44.0,1498,SCRATCH,CRUNCH,ICE_PUNCH
Croconaw (Shadow),159,Water,None,150,142,163,982748.2371191542,44.0,1498,SCRATCH,CRUNCH,ICE_PUNCH
Feraligatr,160,Water,None,205,188,198,401564.2620736118,21.0,1482,BITE,CRUNCH,HYDRO_CANNON
Feraligatr (Shadow),160,Water,None,205,188,198,401564.2620736118,21.0,1482,BITE,CRUNCH,HYDRO_CANNON
Sentret,161,Normal,None,79,73,111,225361.19790263555,50.0,502,QUICK_ATTACK,BRICK_BREAK,DIG
Furret,162,Normal,None,148,125,198,980604.1668947694,42.5,1500,QUICK_ATTACK,BRICK_BREAK,DIG
Hoothoot,163,Normal,Flying,67,88,155,321732.8345951891,50.0,552,FEINT_ATTACK,AERIAL_ACE,NIGHT_SHADE
Noctowl,164,Normal,Flying,145,156,225,841066.2705751222,31.5,1490,EXTRASENSORY,NIGHT_SHADE,PSYCHIC
Ledyba,165,Bug,Flying,72,118,120,358923.55618515256,50.0,604,BUG_BITE,AERIAL_ACE,SILVER_WIND
Ledyba (Shadow),165,Bug,Flying,72,118,120,358923.55618515256,50.0,604,BUG_BITE,AERIAL_ACE,SILVER_WIND
Ledian,166,Bug,Flying,107,179,146,984455.0173176368,50.0,1221,BUG_BITE,AERIAL_ACE,BUG_BUZZ
Ledian (Shadow),166,Bug,Flying,107,179,146,984455.0173176368,50.0,1221,BUG_BITE,AERIAL_ACE,BUG_BUZZ
Spinarak,167,Bug,Poison,105,73,120,323816.97953851154,50.0,693,BUG_BITE,CROSS_POISON,NIGHT_SLASH
Ariados,168,Bug,Poison,161,124,172,885427.5005782855,41.5,1496,INFESTATION,CROSS_POISON,MEGAHORN
Crobat,169,Poison,Flying,194,178,198,472741.69078096724,23.0,1494,AIR_SLASH,AIR_CUTTER,SHADOW_BALL
Crobat (Shadow),169,Poison,Flying,194,178,198,472741.69078096724,23.0,1494,AIR_SLASH,AIR_CUTTER,SHADOW_BALL
Chinchou,170,Water,Electric,106,97,181,655182.6475693744,50.0,991,BUBBLE,BUBBLE_BEAM,THUNDERBOLT
Lanturn,171,Water,Electric,146,137,268,822633.7953363302,30.0,1497,CHARGE_BEAM,HYDRO_PUMP,THUNDER
Lanturn,171,Water,Electric,146,137,268,822633.7953363302,30.0,1497,CHARGE_BEAM,HYDRO_PUMP,THUNDER
Pichu,172,Electric,None,77,53,85,122121.3882879067,50.0,364,QUICK_ATTACK,DISARMING_VOICE,THUNDER_PUNCH
Cleffa,173,Fairy,None,75,79,137,285769.0125200025,50.0,550,POUND,BODY_SLAM,GRASS_KNOT
Igglybuff,174,Normal,Fairy,69,32,207,160907.25527283532,50.0,396,FEINT_ATTACK,BODY_SLAM,PSYCHIC
Togepi,175,Fairy,None,67,116,111,303712.0218656639,50.0,536,HIDDEN_POWER_BUG,ANCIENT_POWER,DAZZLING_GLEAM
Togetic,176,Fairy,Flying,139,181,146,1059157.8564260786,44.5,1492,FAIRY_WIND,AERIAL_ACE,ANCIENT_POWER
Natu,177,Psychic,Flying,134,89,120,503827.95798777416,50.0,977,PECK,DRILL_PECK,NIGHT_SHADE
Natu (Shadow),177,Psychic,Flying,134,89,120,503827.95798777416,50.0,977,PECK,DRILL_PECK,NIGHT_SHADE
Xatu,178,Psychic,Flying,192,146,163,570074.1826994822,28.0,1480,AIR_SLASH,AERIAL_ACE,FUTURE_SIGHT
Xatu (Shadow),178,Psychic,Flying,192,146,163,570074.1826994822,28.0,1480,AIR_SLASH,AERIAL_ACE,FUTURE_SIGHT
Mareep,179,Electric,None,114,79,146,462904.0821783865,50.0,864,TACKLE,BODY_SLAM,DISCHARGE
Mareep (Shadow),179,Electric,None,114,79,146,462904.0821783865,50.0,864,TACKLE,BODY_SLAM,DISCHARGE
Flaaffy,180,Electric,None,145,109,172,957037.9497676257,50.0,1401,CHARGE_BEAM,DISCHARGE,POWER_GEM
Flaaffy (Shadow),180,Electric,None,145,109,172,957037.9497676257,50.0,1401,CHARGE_BEAM,DISCHARGE,POWER_GEM
Ampharos,181,Electric,None,211,169,207,388434.3780835816,21.0,1478,CHARGE_BEAM,DRAGON_PULSE,FOCUS_BLAST
Ampharos (Mega),181,Electric,Dragon,294,203,207,172797.42879592357,13.5,1452,CHARGE_BEAM,DRAGON_PULSE,FOCUS_BLAST
Ampharos (Shadow),181,Electric,None,211,169,207,388434.3780835816,21.0,1478,CHARGE_BEAM,DRAGON_PULSE,FOCUS_BLAST
Bellossom,182,Grass,None,169,186,181,636464.7480362921,27.0,1494,ACID,DAZZLING_GLEAM,LEAF_BLADE
Bellossom (Shadow),182,Grass,None,169,186,181,636464.7480362921,27.0,1494,ACID,DAZZLING_GLEAM,LEAF_BLADE
Marill,183,Water,Fairy,37,93,172,208362.3907086618,50.0,330,BUBBLE,AQUA_TAIL,BODY_SLAM
Azumarill,184,Water,Fairy,112,152,225,1348498.1065713358,50.0,1462,BUBBLE,HYDRO_PUMP,ICE_BEAM
Sudowoodo,185,Rock,None,167,176,172,665139.4795070279,28.5,1477,COUNTER,EARTHQUAKE,ROCK_SLIDE
Sudowoodo (Shadow),185,Rock,None,167,176,172,665139.4795070279,28.5,1477,COUNTER,EARTHQUAKE,ROCK_SLIDE
Politoed,186,Water,None,174,179,207,572497.9433422406,25.0,1494,BUBBLE,BLIZZARD,EARTHQUAKE
Politoed (Shadow),186,Water,None,174,179,207,572497.9433422406,25.0,1494,BUBBLE,BLIZZARD,EARTHQUAKE
Hoppip,187,Grass,Flying,67,94,111,246111.46599458967,50.0,483,BULLET_SEED,DAZZLING_GLEAM,GRASS_KNOT
Hoppip (Shadow),187,Grass,Flying,67,94,111,246111.46599458967,50.0,483,BULLET_SEED,DAZZLING_GLEAM,GRASS_KNOT
Skiploom,188,Grass,Flying,91,120,146,561282.76453342,50.0,850,BULLET_SEED,DAZZLING_GLEAM,ENERGY_BALL
Skiploom (Shadow),188,Grass,Flying,91,120,146,561282.76453342,50.0,850,BULLET_SEED,DAZZLING_GLEAM,ENERGY_BALL
Jumpluff,189,Grass,Flying,118,183,181,1327598.0062832097,49.0,1498,BULLET_SEED,DAZZLING_GLEAM,ENERGY_BALL
Jumpluff (Shadow),189,Grass,Flying,118,183,181,1327598.0062832097,49.0,1498,BULLET_SEED,DAZZLING_GLEAM,ENERGY_BALL
Aipom,190,Normal,None,136,112,146,782917.4971953346,50.0,1227,ASTONISH,AERIAL_ACE,LOW_SWEEP
Aipom (Shadow),190,Normal,None,136,112,146,782917.4971953346,50.0,1227,ASTONISH,AERIAL_ACE,LOW_SWEEP
Sunkern,191,Grass,None,55,55,102,108625.49362536175,50.0,290,CUT,ENERGY_BALL,GRASS_KNOT
Sunflora,192,Grass,None,185,135,181,626618.7364320826,29.0,1496,BULLET_SEED,PETAL_BLIZZARD,SLUDGE_BOMB
Yanma,193,Bug,Flying,154,94,163,830696.5200210017,50.0,1346,QUICK_ATTACK,AERIAL_ACE,ANCIENT_POWER
Wooper,194,Water,Ground,75,66,146,254427.62678025907,50.0,519,MUD_SHOT,BODY_SLAM,DIG
Wooper (Paldean),194,Poison,Ground,75,66,146,254427.62678025907,50.0,519,MUD_SHOT,BODY_SLAM,DIG
Wooper (Shadow),194,Water,Ground,75,66,146,254427.62678025907,50.0,519,MUD_SHOT,BODY_SLAM,DIG
Quagsire,195,Water,Ground,152,143,216,814317.3199131463,32.5,1489,MUD_SHOT,EARTHQUAKE,SLUDGE_BOMB
Quagsire (Shadow),195,Water,Ground,152,143,216,814317.3199131463,32.5,1489,MUD_SHOT,EARTHQUAKE,SLUDGE_BOMB
Espeon,196,Psychic,None,261,175,163,290170.0085633524,19.0,1494,CONFUSION,FUTURE_SIGHT,LAST_RESORT
Umbreon,197,Dark,None,126,240,216,905429.9221600683,29.0,1484,FEINT_ATTACK,DARK_PULSE,FOUL_PLAY
Murkrow,198,Dark,Flying,175,87,155,830797.5588045716,50.0,1434,FEINT_ATTACK,DARK_PULSE,DRILL_PECK
Murkrow (Shadow),198,Dark,Flying,175,87,155,830797.5588045716,50.0,1434,FEINT_ATTACK,DARK_PULSE,DRILL_PECK
Slowking,199,Water,Psychic,177,180,216,540631.241202609,24.0,1494,CONFUSION,BLIZZARD,FIRE_BLAST
Slowking (Galarian),199,Poison,Psychic,190,180,216,446977.33760725067,22.0,1470,HEX,FUTURE_SIGHT,SHADOW_BALL
Slowking (Shadow),199,Water,Psychic,177,180,216,540631.241202609,24.0,1494,CONFUSION,BLIZZARD,FIRE_BLAST
Misdreavus,200,Ghost,None,167,154,155,777690.4758185107,35.0,1496,ASTONISH,DARK_PULSE,OMINOUS_WIND
Misdreavus (Shadow),200,Ghost,None,167,154,155,777690.4758185107,35.0,1496,ASTONISH,DARK_PULSE,OMINOUS_WIND
Unown,201,Psychic,None,136,91,134,583836.5925146716,50.0,1060,HIDDEN_POWER_BUG,STRUGGLE,none
Wobbuffet,202,Psychic,None,60,106,382,855316.1862670196,50.0,852,COUNTER,MIRROR_COAT,none
Wobbuffet (Shadow),202,Psychic,None,60,106,382,855316.1862670196,50.0,852,COUNTER,MIRROR_COAT,none
Girafarig,203,Normal,Psychic,182,133,172,671391.1128642297,31.0,1498,CONFUSION,MIRROR_COAT,PSYCHIC
Girafarig (Shadow),203,Normal,Psychic,182,133,172,671391.1128642297,31.0,1498,CONFUSION,MIRROR_COAT,PSYCHIC
Pineco,204,Bug,None,108,122,137,635492.406576127,50.0,985,BUG_BITE,GYRO_BALL,ROCK_TOMB
Pineco (Shadow),204,Bug,None,108,122,137,635492.406576127,50.0,985,BUG_BITE,GYRO_BALL,ROCK_TOMB
