pokemon_winner,pokemon_loser,left_pokemon_type_1,left_pokemon_type_2,left_pokemon_fast_move,left_pokemon_charge_move_1,left_pokemon_charge_move_2,left_pokemon_fast_move_type,left_pokemon_charge_move_1_type,left_pokemon_charge_move_2_type,left_pokemon_dex,left_pokemon_attack,left_pokemon_defense,left_pokemon_stamina,left_pokemon_overall,right_pokemon_type_1,right_pokemon_type_2,right_pokemon_fast_move,right_pokemon_charge_move_1,right_pokemon_charge_move_2,right_pokemon_fast_move_type,right_pokemon_charge_move_1_type,right_pokemon_charge_move_2_type,right_pokemon_dex,right_pokemon_attack,right_pokemon_defense,right_pokemon_stamina,right_pokemon_overall,winner
Toxapex,Mr. Mime,14,18,97,36,246,14,18,14,748,92.3,222.0,118,88.1,15,5,105,230,200,15,9,15,122,132.2,145.7,88,66.6,0
Vigoroth,Loudred,13,0,16,26,216,6,13,16,288,117.7,112.7,144,71.7,13,0,5,251,61,2,13,5,294,125.2,80.7,178,59.5,0
Golduck,Gabite,18,0,139,49,146,18,6,18,55,125.5,112.2,127,73.0,3,11,93,60,97,11,11,7,444,128.8,101.0,133,64.1,0
Chinchou,Dunsparce,18,4,7,273,285,18,4,18,170,101.7,94.1,164,60.3,13,0,114,79,216,16,11,16,206,104.8,111.0,183,85.5,1
Klinklang,Chatot,17,0,92,161,297,17,17,4,601,124.9,140.2,102,68.2,13,8,126,242,171,17,8,9,441,140.4,78.4,145,51.6,0
Machoke,Geodude,6,0,81,49,213,6,6,13,67,127.7,97.2,141,81.8,16,11,112,218,216,16,16,16,74,123.5,123.5,113,66.0,1
Blissey,Frillish,13,0,147,293,58,15,4,5,242,81.4,110.2,307,66.3,18,9,40,171,131,9,9,12,592,109.2,125.2,135,78.8,1
Deerling,Runerigus,13,10,130,293,276,13,4,10,585,109.2,96.6,142,55.7,11,9,119,218,230,9,16,9,867,112.2,168.3,106,89.2,0
Pyroar,Ninetales,7,13,77,95,55,7,7,2,668,135.0,98.0,125,74.5,7,0,25,287,182,7,7,7,38,115.1,133.6,126,84.8,0
Omanyte,Golett,16,18,93,218,215,11,16,16,138,129.2,131.7,102,68.8,11,9,95,235,34,11,9,6,622,119.3,89.9,141,78.8,0
Cursola,Popplio,9,0,4,171,191,9,9,16,864,146.2,111.1,94,65.8,18,0,139,13,11,18,18,18,728,113.4,99.2,127,63.3,0
Hypno,Scrafty,15,0,15,230,270,15,9,4,97,103.7,140.8,148,74.8,2,6,16,104,270,6,2,4,560,110.4,155.4,117,79.7,1
Sealeo,Shiinotic,12,18,102,260,26,12,18,13,364,108.6,113.2,167,84.2,10,5,4,164,227,9,5,10,756,116.8,132.3,124,73.2,1
Moltres,Melmetal,7,8,31,242,9,7,8,16,146,136.3,102.6,117,68.6,17,0,134,65,258,4,17,6,809,121.5,107.8,141,87.3,0
Lugia,Gabite,15,8,23,101,5,3,8,8,249,102.4,165.0,129,74.5,3,11,93,60,97,11,11,7,444,128.8,101.0,133,64.1,0
Kingler,Stoutland,18,0,7,48,296,18,18,1,99,143.9,115.0,93,62.7,13,0,116,293,52,11,4,2,508,125.8,114.7,124,72.5,1
Spiritomb,Onix,9,2,129,218,230,2,16,9,442,121.2,146.4,104,85.0,16,11,112,32,253,16,3,16,95,84.0,207.6,105,64.8,1
Mr. Mime (Galarian),Eevee,12,15,15,133,279,15,12,12,122,131.2,127.7,102,57.9,13,0,106,262,60,13,13,11,133,100.0,108.4,135,59.4,1
Armarouge,Huntail,7,15,77,205,95,7,15,7,936,133.6,110.6,114,85.9,18,0,139,13,52,18,18,2,367,131.5,126.3,102,70.7,0
Jirachi,Cacturne,17,15,15,64,58,15,17,5,385,120.5,119.4,129,74.7,10,2,129,276,81,2,10,6,332,148.9,83.5,121,72.9,1
Medicham,Escavalier,6,15,104,133,81,15,12,6,308,106.9,139.5,141,85.6,1,17,8,79,211,1,11,18,589,133.9,116.8,107,77.1,0
Bronzong,Servine,17,15,92,205,184,17,15,2,437,111.3,151.8,119,86.7,10,0,136,111,295,10,10,13,496,107.2,137.4,142,79.4,1
Rhyperior,Dunsparce,11,16,95,32,220,11,3,16,464,126.8,105.5,132,77.9,13,0,114,79,216,16,11,16,206,104.8,111.0,183,85.5,1
Serperior,Victreebel,10,0,136,105,4,10,10,8,497,110.2,143.6,128,84.2,10,14,1,143,245,14,10,14,71,135.8,94.8,128,86.7,0
Mr. Mime,Quilladin,15,5,105,230,200,15,9,15,122,132.2,145.7,88,66.6,10,0,136,26,86,10,13,10,651,115.4,130.0,129,74.1,1
Crabrawler,Nuzleaf,6,0,7,48,194,18,18,6,739,135.7,99.1,122,59.6,10,2,29,143,104,2,10,2,274,125.2,78.1,157,65.2,0
Tirtouga,Castform (Snowy),18,16,139,260,9,18,18,16,564,113.9,132.0,130,67.2,12,0,102,289,24,12,12,12,351,113.4,119.6,146,79.3,1
Munna,Elgyem,15,0,13,205,58,4,15,5,517,105.9,89.9,166,46.6,15,0,15,55,200,15,2,15,605,134.0,94.7,132,54.6,1
Machoke,Conkeldurr,6,0,81,49,213,6,6,13,67,127.7,97.2,141,81.8,6,0,16,81,38,6,6,2,534,134.6,93.3,132,73.6,1
Aromatisse,Grafaiai,5,0,14,164,273,5,5,4,683,116.5,108.0,153,77.8,14,13,95,188,245,11,14,14,945,134.9,106.5,115,77.7,0
Magnemite,Lombre,4,17,137,153,62,4,17,4,81,148.7,113.4,89,75.9,18,10,7,224,111,18,18,10,271,106.7,112.6,142,61.8,1
Nidoqueen,Metang,14,11,99,82,188,14,11,14,31,117.8,116.5,139,84.9,17,15,36,205,213,1,15,13,375,108.9,145.5,129,88.3,0
Beautifly,Slowbro (Galarian),1,8,79,7,240,1,8,1,267,146.4,81.9,128,59.7,14,15,97,224,38,14,18,2,80,119.1,108.4,145,74.7,0
Raikou,Corphish,4,0,134,293,230,4,4,9,243,130.9,110.1,118,79.4,18,0,7,11,211,18,18,18,341,131.1,95.8,117,61.4,0
Gourgeist (Average),Lycanroc (Midday),9,10,40,230,227,9,9,10,711,116.6,147.0,112,80.6,16,0,129,253,79,2,16,11,745,144.6,92.0,117,63.5,1
Kleavor,Guzzlord,1,16,36,296,253,1,1,16,900,144.2,105.1,102,77.1,2,3,23,38,245,3,2,14,799,113.3,65.5,266,86.3,0
Fuecoco,Mawile,7,0,77,52,97,7,2,7,909,106.7,93.3,152,64.5,17,5,28,139,187,5,17,5,303,125.9,121.2,117,77.4,1
Totodile,Gliscor,18,0,139,11,52,18,18,2,158,110.9,104.2,127,59.9,11,8,36,84,4,1,11,8,472,115.7,143.9,116,85.7,0
Simipour,Kabuto,18,0,139,260,52,18,18,2,516,136.6,94.5,126,61.7,16,18,93,11,218,11,18,16,140,133.6,128.6,97,73.3,0
Pidgeot,Camerupt,13,8,38,7,31,8,8,8,18,117.2,113.8,143,79.0,7,11,77,82,182,7,11,7,323,134.9,101.2,122,66.8,1
Arboliva,Graveler,10,13,89,82,276,10,11,10,930,129.9,115.5,115,67.1,16,11,95,253,60,11,16,11,75,122.9,127.3,117,67.1,0
Rhyhorn,Swanna,11,16,95,43,251,11,11,13,111,113.4,110.2,158,72.8,18,8,3,101,131,8,8,12,581,129.3,99.7,134,66.9,0
Totodile,Probopass,18,0,139,11,52,18,18,2,158,110.9,104.2,127,59.9,16,17,124,216,297,4,16,4,476,96.8,200.0,119,73.5,1
Conkeldurr,Slowking,6,0,16,81,38,6,6,2,534,134.6,93.3,132,73.6,18,15,139,260,200,18,18,15,199,113.4,120.9,143,67.2,0
Jirachi,Diggersby,17,15,15,64,58,15,17,5,385,120.5,119.4,129,74.7,13,11,106,92,226,13,7,11,660,96.3,141.2,171,93.6,0
Victini,Vibrava,15,7,106,283,200,13,7,15,494,120.5,119.4,129,73.4,11,3,21,223,41,3,11,1,329,125.2,95.8,127,67.7,0
Gigalith,Altaria,16,0,95,258,156,11,6,16,526,127.2,118.4,116,69.1,3,8,21,242,164,3,8,5,334,103.4,153.3,136,81.7,0
Kabutops,Hydreigon,16,18,36,253,9,1,16,16,141,135.5,121.0,100,70.6,2,3,21,38,99,3,2,17,635,136.6,103.5,116,79.9,0
Pidgeot,Hariyama,13,8,38,7,31,8,8,8,18,117.2,113.8,143,79.0,6,0,32,282,117,6,6,17,297,125.6,75.5,186,79.9,1
Rotom (Wash),Gothorita,4,18,134,273,127,4,4,18,479,129.2,143.2,93,64.3,15,0,15,109,200,15,15,15,575,112.5,130.8,135,60.3,1
Ariados,Bouffalant,1,14,99,148,276,14,1,10,168,124.7,102.0,141,79.9,13,0,93,251,154,11,13,1,626,118.9,115.9,136,68.8,0
Crabrawler,Accelgor,6,0,7,48,194,18,18,6,739,135.7,99.1,122,59.6,1,0,141,41,1,18,1,14,617,143.2,84.3,129,53.4,1
Tauros,Donphan,13,0,130,276,122,13,10,13,128,125.1,118.9,120,66.4,11,0,95,276,26,11,10,13,232,125.8,112.0,126,83.6,1
Arctibax,Skorupi,3,12,21,19,71,3,12,3,997,123.1,97.7,151,82.5,14,1,99,13,51,14,18,14,451,90.8,139.5,113,61.7,1
Tentacruel,Quilladin,18,14,1,224,246,14,18,14,73,110.1,139.9,132,86.0,10,0,136,26,86,10,13,10,651,115.4,130.0,129,74.1,1
Wigglytuff,Aggron,13,5,14,137,262,5,12,13,40,115.8,75.5,220,85.7,17,16,92,218,267,17,16,4,306,116.1,154.0,107,80.8,0
Vibrava,Kingler,11,3,21,223,41,3,11,1,329,125.2,95.8,127,67.7,18,0,7,48,296,18,18,1,99,143.9,115.0,93,62.7,1
Hariyama,Porygon2,6,0,32,282,117,6,6,17,297,125.6,75.5,186,79.9,13,0,86,277,297,13,13,4,233,123.7,115.7,127,64.9,0
Pawmot,Zapdos,4,6,134,34,293,4,6,4,923,144.5,94.3,113,79.0,4,8,134,78,273,4,8,4,145,136.2,104.7,115,84.1,0
Stoutland,Hippowdon,13,0,116,293,52,11,4,2,508,125.8,114.7,124,72.5,11,0,116,291,226,11,16,11,450,116.2,116.8,141,84.2,0
Umbreon,Carbink,2,0,123,55,141,2,2,13,197,90.2,177.0,155,82.0,16,5,112,191,164,16,16,5,703,84.9,247.9,126,90.3,0
Drifloon,Escavalier,9,8,40,137,230,9,12,9,425,110.9,79.8,186,79.4,1,17,8,79,211,1,11,18,589,133.9,116.8,107,77.1,0
Raikou,Lumineon,4,0,134,293,230,4,4,9,243,130.9,110.1,118,79.4,18,0,139,285,240,18,18,1,457,109.5,137.2,136,70.9,0
Genesect,Nidoqueen,1,17,36,296,265,1,1,13,649,141.1,111.7,100,82.6,14,11,99,82,188,14,11,14,31,117.8,116.5,139,84.9,1
Naganadel,Passimian,14,3,97,71,245,14,3,14,804,149.2,97.2,103,72.6,6,0,16,38,34,6,2,6,766,129.9,100.5,132,76.3,0
Salazzle,Staravia,14,7,77,188,74,7,14,3,758,146.6,90.9,114,81.9,13,8,106,31,101,13,8,8,397,131.9,91.6,135,76.5,0
Nosepass,Rotom (Mow),16,0,112,216,215,16,16,16,299,81.5,193.3,98,56.3,4,10,134,273,176,4,4,9,479,129.2,143.2,93,61.6,0
Gumshoos,Hippopotas,13,0,5,218,52,2,16,2,735,134.9,85.7,144,58.0,11,0,116,218,60,11,16,11,449,115.3,111.1,152,84.9,1
Palpitoad,Lugia,18,11,93,82,285,11,11,18,536,116.6,101.6,162,72.4,15,8,23,101,5,3,8,8,249,102.4,165.0,129,74.5,0
Onix,Tyrunt,16,11,112,32,253,16,3,16,95,84.0,207.6,105,64.8,16,3,23,71,9,3,3,16,696,127.6,106.3,129,75.9,1
Wormadam (Trash),Durant,1,17,8,41,139,1,1,17,413,105.2,150.9,134,85.2,1,17,8,296,253,1,1,16,632,135.9,121.2,100,72.8,0
Sliggoo,Aerodactyl,3,0,139,167,74,18,18,3,705,115.2,132.6,127,64.7,16,8,112,216,82,16,16,11,142,135.0,103.9,118,65.3,1
Bastiodon,Lycanroc (Dusk),16,17,121,253,97,16,16,7,411,81.1,246.7,138,89.2,16,0,129,253,276,2,16,10,745,145.2,92.5,115,63.9,0
Slaking,Mantyke,13,0,145,26,84,13,13,11,289,139.3,83.6,138,20.2,18,8,7,4,285,18,8,18,458,100.8,163.0,120,78.1,1
Murkrow,Sawk,2,8,29,78,104,2,8,2,198,143.5,80.9,134,62.5,6,0,97,26,34,14,13,6,539,141.0,99.8,113,63.5,1
Mantyke,Deoxys (Speed),18,8,7,4,285,18,8,18,458,100.8,163.0,120,78.1,15,0,13,204,262,4,15,13,386,140.8,131.6,86,47.8,1
Cetitan,Unown,12,0,102,19,26,12,12,13,975,120.7,75.9,203,80.6,15,0,65,255,0,15,13,0,201,126.9,89.1,125,38.1,1
Simisear,Sandshrew (Alolan),7,0,31,52,97,7,2,7,514,136.6,94.5,126,63.6,12,17,102,172,24,12,2,12,27,117.6,121.0,127,75.8,0
Mienfoo,Whimsicott,6,0,87,120,34,6,6,6,619,143.6,93.8,116,36.3,10,5,28,227,164,5,10,5,547,118.4,133.1,119,81.3,0
Oricorio (Pom-Pom),Raboot,4,8,3,7,4,8,8,8,741,130.9,101.4,128,66.2,7,0,31,95,97,7,7,7,814,130.0,102.1,130,67.0,1
Charizard,Moltres,7,8,25,21,71,7,7,3,6,132.2,108.3,117,78.5,7,8,31,242,9,7,8,16,146,136.3,102.6,117,68.6,1
Mandibuzz,Sneasler,2,8,123,55,4,2,2,8,630,92.3,149.2,176,91.8,6,14,119,47,4,9,6,8,903,146.0,95.3,110,78.5,0
Mienfoo,Sceptile,6,0,87,120,34,6,6,6,619,143.6,93.8,116,36.3,10,0,36,105,32,1,10,3,254,136.9,108.5,110,77.3,0
Miltank,Sandygast,13,0,114,26,273,16,13,4,241,105.4,135.5,148,81.7,9,11,4,226,230,9,11,9,769,113.4,111.8,135,69.4,0
Golisopod,Shiftry,1,18,36,296,11,1,1,18,768,125.2,133.6,107,91.9,10,2,123,143,104,2,10,2,275,134.2,87.7,142,73.6,1
Slowbro,Swalot,18,15,139,260,131,18,18,12,80,113.4,120.9,143,67.2,14,0,93,244,131,11,14,12,317,104.1,123.4,168,85.3,0
Honchkrow,Staraptor,2,8,123,31,55,2,8,2,430,150.6,68.3,145,65.0,13,8,106,101,47,13,8,6,398,140.4,90.8,124,75.4,1
Ferroseed,Wugtrio,10,17,91,139,213,17,17,13,597,81.5,142.9,119,50.7,18,0,95,146,260,11,18,18,961,151.8,107.2,90,61.0,0
Bombirdier,Basculin,8,2,129,101,218,2,8,16,962,128.0,115.3,118,80.9,18,0,139,13,11,18,18,18,550,134.0,96.5,129,72.6,1
Gengar,Raboot,9,14,119,235,245,9,9,14,94,156.6,94.3,97,80.7,7,0,31,95,97,7,7,7,814,130.0,102.1,130,67.0,0
Roserade,Gholdengo,10,14,99,287,144,14,7,10,407,143.1,114.9,95,80.4,17,9,40,230,191,9,9,16,1000,135.7,106.2,114,75.0,1
Chespin,Swanna,10,0,136,26,227,10,13,10,650,105.0,101.7,136,59.0,18,8,3,101,131,8,8,12,581,129.3,99.7,134,66.9,1
Bisharp,Castform (Rainy),2,17,123,55,296,2,2,1,625,139.2,111.5,103,68.8,18,0,139,292,267,18,18,4,351,113.4,119.6,146,81.7,0
Machamp,Mawile,6,0,81,49,253,6,6,16,68,136.4,97.2,124,86.3,17,5,28,139,187,5,17,5,303,125.9,121.2,117,77.4,1
Moltres,Ferroseed,7,8,31,242,9,7,8,16,146,136.3,102.6,117,68.6,10,17,91,139,213,17,17,13,597,81.5,142.9,119,50.7,0
Lycanroc (Midday),Mr. Mime,16,0,129,253,79,2,16,11,745,144.6,92.0,117,63.5,15,5,105,230,200,15,9,15,122,132.2,145.7,88,66.6,0
Glalie,Decidueye,12,0,114,19,230,16,12,9,362,115.2,120.1,140,82.0,10,9,4,105,250,9,10,9,724,127.8,115.3,118,80.4,0
Electabuzz,Kabuto,4,0,134,270,213,4,4,13,125,130.9,112.6,115,72.5,16,18,93,11,218,11,18,16,140,133.6,128.6,97,73.3,1
Quilladin,Bruxish,10,0,136,26,86,10,13,10,651,115.4,130.0,129,74.1,18,15,15,13,201,15,18,15,779,137.3,100.4,118,74.4,0
Hitmonchan,Alomomola,6,0,16,133,270,6,12,4,107,128.2,137.3,98,69.8,18,0,142,127,24,18,18,12,594,96.7,98.8,240,73.9,1
Teddiursa,Leafeon,13,0,84,262,49,9,13,6,216,130.2,90.8,142,65.0,10,0,106,143,141,13,10,13,470,128.1,133.3,102,73.5,1
Ceruledge,Suicune,7,9,77,230,95,7,9,7,937,136.9,114.0,105,71.5,18,0,74,40,224,12,18,18,245,107.4,141.9,137,81.1,1
Carracosta,Gliscor,18,16,139,146,9,18,18,16,565,121.8,127.9,118,63.2,11,8,36,84,4,1,11,8,472,115.7,143.9,116,85.7,1
Mismagius,Krabby,9,0,40,230,55,9,9,2,429,133.8,120.8,104,68.2,18,0,7,211,285,18,18,18,98,148.1,110.4,92,58.2,1
Tranquill,Cofagrigus,13,8,3,4,213,8,8,13,520,124.0,101.4,143,62.4,9,0,119,230,55,9,9,2,563,112.2,168.3,106,81.4,0
Roserade,Qwilfish (Hisuian),10,14,99,287,144,14,7,10,407,143.1,114.9,95,80.4,2,14,99,13,230,14,18,9,211,129.5,111.3,120,82.3,1
Wormadam (Sandy),Fletchinder,1,11,8,41,43,1,1,11,413,109.9,146.8,126,72.8,7,8,25,101,4,7,8,8,662,123.0,103.2,142,80.7,1
Heracross,Rhydon,1,6,16,282,154,6,6,1,214,134.7,107.9,114,67.6,11,16,95,32,253,11,3,16,112,126.7,102.4,136,76.1,0
Clefairy,Zoroark,5,0,147,61,262,15,5,13,35,102.5,103.4,157,39.5,2,0,119,104,245,9,2,14,571,157.9,86.9,103,67.0,0
Rufflet,Camerupt,13,8,143,31,101,8,8,8,627,126.3,91.1,153,72.5,7,11,77,82,182,7,11,7,323,134.9,101.2,122,66.8,1
Zygarde (50% Forme),Cacturne,3,11,23,52,84,3,2,11,718,114.1,128.3,133,75.6,10,2,129,276,81,2,10,6,332,148.9,83.5,121,72.9,0
Kubfu,Bellossom,6,0,16,47,34,6,6,6,891,136.6,95.6,125,66.9,10,0,1,143,58,14,10,5,182,115.7,132.9,126,83.3,0
Bewear,Buneary,13,6,119,258,251,9,6,13,760,130.4,85.6,154,78.6,13,0,106,262,92,13,13,7,427,121.8,100.8,135,69.0,1
Vibrava,Castform (Rainy),11,3,21,223,41,3,11,1,329,125.2,95.8,127,67.7,18,0,139,292,267,18,18,4,351,113.4,119.6,146,81.7,0
Avalugg,Poliwhirl,12,0,74,19,26,12,12,13,713,112.9,142.5,124,79.6,18,0,7,224,166,18,18,11,61,115.1,114.3,148,73.2,0
Turtwig,Simisear,10,0,130,26,227,13,13,10,387,112.6,105.0,135,52.3,7,0,31,52,97,7,2,7,514,136.6,94.5,126,63.6,1
Larvesta,Munchlax,1,7,25,95,41,7,7,1,636,131.7,99.2,130,66.7,13,0,130,26,43,13,13,11,446,104.0,95.2,218,76.9,0
Lycanroc (Midnight),Luxio,16,0,16,253,201,6,16,15,745,134.3,101.0,123,63.6,4,0,124,293,52,4,4,2,404,134.1,91.1,137,65.8,1
Linoone (Galarian),Duosion,2,13,123,26,60,2,13,11,264,114.6,112.2,152,68.9,15,0,65,205,171,15,15,9,578,149.2,82.7,121,46.4,1
Corsola (Galarian),Metang,9,0,4,171,191,9,9,16,222,99.6,162.1,139,92.3,17,15,36,205,213,1,15,13,375,108.9,145.5,129,88.3,0
Feraligatr,Carracosta,18,0,119,125,131,9,18,12,160,123.3,118.0,124,91.8,18,16,139,146,9,18,18,16,565,121.8,127.9,118,63.2,0
Koffing,Armaldo,14,0,79,244,55,1,14,2,109,112.6,131.1,113,57.8,16,1,36,215,146,1,16,18,348,133.3,110.9,113,76.8,1
Venusaur,Appletun,10,14,136,105,245,10,10,14,3,122.5,121.9,122,82.2,10,3,4,180,227,9,3,10,842,117.2,100.8,162,67.9,1
Klefki,Charmeleon,17,5,4,104,187,9,2,5,707,119.0,134.2,118,83.7,7,0,25,92,213,7,7,13,5,127.1,109.1,127,70.9,0
Archen,Malamar,16,8,106,9,71,13,16,3,566,160.1,76.0,115,62.0,2,15,105,258,104,15,6,2,687,118.5,117.1,136,88.7,1
Baxcalibur,Marowak,3,12,74,19,71,12,12,3,998,136.2,96.2,125,74.5,11,0,95,28,216,11,11,16,105,110.8,145.0,126,89.5,1
Excadrill,Magmar,11,17,95,79,216,11,11,16,530,142.7,78.8,139,75.9,7,0,81,92,226,6,7,11,126,136.6,107.5,112,77.0,0
Crabominable,Absol,6,12,7,133,34,18,12,6,740,136.8,87.9,135,60.5,2,0,123,38,154,2,2,1,359,157.9,82.7,109,63.9,1
Swoobat,Ninjask,15,8,15,101,201,15,8,15,528,126.9,100.9,138,73.1,1,8,36,4,41,1,8,1,291,144.2,89.1,120,73.8,1
Mantyke,Victini,18,8,7,4,285,18,8,18,458,100.8,163.0,120,78.1,15,7,106,283,200,13,7,15,494,120.5,119.4,129,73.4,1
Shellos,Gholdengo,18,0,95,166,26,11,11,13,422,99.2,100.8,166,68.4,17,9,40,230,191,9,9,16,1000,135.7,106.2,114,75.0,0
Sylveon,Prinplup,5,0,14,205,164,5,15,5,700,118.9,121.2,131,78.0,18,0,7,137,127,18,12,18,394,119.1,116.0,136,70.1,1
Muk,Kingdra,14,0,97,270,55,14,4,2,89,117.3,111.3,146,76.2,18,3,21,180,175,3,3,18,230,121.8,126.1,119,70.3,1
Shaymin (Sky),Shiftry,10,8,89,111,86,10,10,10,492,138.1,93.6,124,55.7,10,2,123,143,104,2,10,2,275,134.2,87.7,142,73.6,0
Lumineon,Mankey,18,0,139,285,240,18,18,1,457,109.5,137.2,136,70.9,6,0,81,49,213,6,6,13,56,137.0,81.5,113,67.0,1
Appletun,Medicham,10,3,4,180,227,9,3,10,842,117.2,100.8,162,67.9,6,15,104,133,81,15,12,6,308,106.9,139.5,141,85.6,0
Thievul,Carnivine,2,0,129,172,187,2,2,5,828,121.7,123.1,123,84.6,10,0,136,192,52,10,10,2,455,130.2,101.2,130,67.4,0
Urshifu (Single Strike),Typhlosion (Hisuian),6,2,129,34,81,2,6,6,892,136.6,97.8,121,82.4,7,9,25,92,293,7,7,4,157,139.6,105.1,109,77.3,1
Vullaby,Regieleki,2,8,3,31,104,8,8,2,629,100.8,129.4,157,75.8,4,0,137,268,128,4,4,13,894,152.3,82.4,117,70.1,0
Melmetal,Empoleon,17,0,134,65,258,4,17,6,809,121.5,107.8,141,87.3,18,17,91,125,78,17,18,8,395,125.8,115.9,122,80.1,1
Starmie,Emboar,18,15,105,260,191,15,18,16,121,132.2,121.8,104,79.7,7,6,25,21,216,7,7,16,500,137.9,79.9,147,68.4,0
Dedenne,Bulbasaur,4,5,134,183,187,4,4,5,702,124.2,108.7,133,90.3,10,14,136,192,245,10,10,14,1,111.8,105.9,120,58.7,0
Drapion,Monferno,14,2,99,52,13,14,2,18,452,118.5,136.5,117,85.8,7,6,25,97,147,7,7,6,391,129.6,95.4,139,68.8,1
Chespin,Revavroom,10,0,136,26,227,10,13,10,650,105.0,101.7,136,59.0,17,14,92,182,114,17,7,17,966,135.7,106.6,114,63.4,0
Wormadam (Plant),Clawitzer,1,10,8,86,41,1,10,1,413,109.9,146.8,126,66.6,18,0,139,48,131,18,18,12,693,134.4,110.5,111,55.7,1
Pumpkaboo (Super),Persian,9,10,4,111,104,9,10,2,710,111.8,113.4,141,80.8,13,0,29,172,191,2,2,16,53,118.9,115.9,136,61.3,0
Altaria,Mr. Rime,3,8,21,242,164,3,8,5,334,103.4,153.3,136,81.7,12,15,15,137,200,15,12,15,866,129.0,114.1,118,60.4,0
Lanturn,Cradily,18,4,139,260,273,18,18,4,171,104.8,104.8,194,85.1,16,10,1,218,111,14,16,10,346,106.3,139.0,143,89.7,1
Machamp,Fletchinder,6,0,81,49,253,6,6,16,68,136.4,97.2,124,86.3,7,8,25,101,4,7,8,8,662,123.0,103.2,142,80.7,0
Arctibax,Scraggy,3,12,21,19,71,3,12,3,997,123.1,97.7,151,82.5,2,6,29,282,104,2,6,2,559,120.4,122.1,126,70.4,1
Buzzwole,Milotic,1,6,16,258,148,6,6,1,794,129.3,112.7,119,71.0,18,0,23,260,295,3,18,13,350,113.2,132.2,132,72.9,0
Clefairy,Simisage,5,0,147,61,262,15,5,13,35,102.5,103.4,157,39.5,10,0,136,111,52,10,10,2,512,136.6,94.5,126,65.6,1
Machoke,Latios,6,0,81,49,213,6,6,13,67,127.7,97.2,141,81.8,3,15,21,71,149,3,3,15,381,138.4,112.9,103,70.9,0
Dustox,Aggron,1,14,15,245,240,15,14,1,269,95.0,148.7,142,64.5,17,16,92,218,267,17,16,4,306,116.1,154.0,107,80.8,1
Torkoal,Poliwhirl,7,0,25,182,84,7,7,11,324,107.6,151.3,127,73.6,18,0,7,224,166,18,18,11,61,115.1,114.3,148,73.2,0
Thwackey,Drifloon,10,0,108,111,86,10,10,10,811,124.7,108.5,133,66.5,9,8,40,137,230,9,12,9,425,110.9,79.8,186,79.4,1
Zoroark,Dartrix,2,0,119,104,245,9,2,14,571,157.9,86.9,103,67.0,10,8,83,31,227,10,8,10,723,112.3,116.8,152,74.1,1
Banette,Pineco,9,0,119,230,58,9,9,5,354,146.8,89.3,117,63.9,1,0,8,218,213,1,16,13,204,103.4,115.1,127,61.7,0
Oricorio (Sensu),Cubone,9,8,3,7,4,8,8,8,741,130.9,101.4,128,66.4,11,0,95,28,213,11,11,13,104,88.2,133.6,127,69.8,0
Kommo-o,Gardevoir,3,6,23,45,71,3,3,3,784,123.7,138.4,105,83.0,15,5,14,279,230,5,12,9,282,137.2,114.5,104,70.5,1
Ponyta,Kleavor,7,0,25,95,251,7,7,13,77,134.8,109.4,113,71.1,1,16,36,296,253,1,1,16,900,144.2,105.1,102,77.1,0
Gengar,Braviary,9,14,119,235,245,9,9,14,94,156.6,94.3,97,80.7,13,8,3,101,47,8,8,6,628,134.3,94.1,132,63.8,0
Altaria,Hatterene,3,8,21,242,164,3,8,5,334,103.4,153.3,136,81.7,15,5,14,205,192,5,15,10,858,144.0,116.5,93,69.9,0
Beedrill,Ambipom,1,14,99,296,79,14,1,11,15,127.6,106.2,129,80.1,13,0,4,4,213,9,8,13,424,133.9,99.9,124,64.1,0
Koffing,Carracosta,14,0,79,244,55,1,14,2,109,112.6,131.1,113,57.8,18,16,139,146,9,18,18,16,565,121.8,127.9,118,63.2,1
Lickitung,Floragato,13,0,84,26,192,9,13,10,108,98.3,126.9,183,86.8,10,0,83,111,187,10,10,5,907,124.9,111.0,129,58.1,0
Kecleon,Magmortar,13,0,129,4,131,2,8,12,352,115.6,142.2,117,75.9,7,0,81,92,273,6,7,4,467,141.4,103.4,108,76.3,0
Maractus,Eelektrik,10,0,11,4,186,10,8,10,556,136.8,93.6,128,56.5,4,0,1,62,52,14,4,2,603,123.2,110.9,133,71.7,0
Tentacool,Poipole,18,14,99,295,285,14,13,18,72,94.1,137.8,113,60.2,14,0,97,245,89,14,14,1,803,119.7,113.6,137,68.1,1
Tropius,Magcargo,10,8,3,143,4,8,10,8,357,101.4,127.3,170,81.5,7,16,77,218,182,7,16,7,219,110.2,157.9,116,83.4,0
Kangaskhan,Krookodile,13,0,95,251,52,11,13,2,115,115.9,112.8,148,77.3,11,2,95,52,84,11,2,11,553,133.9,94.8,132,72.9,0
Heliolisk,Hitmonchan,4,13,137,32,183,4,3,4,695,137.1,112.0,105,76.4,6,0,16,133,270,6,12,4,107,128.2,137.3,98,69.8,1
Exeggutor (Alolan),Teddiursa,10,3,23,227,67,3,10,3,103,134.4,94.2,131,63.6,13,0,84,262,49,9,13,6,216,130.2,90.8,142,65.0,1
