Pokemon,WinTypes,LoseTypes,WinFastMoves,LoseFastMoves,WinChargedMoves,LoseChargedMoves
Suicune,"['Water', 'Flying']","['Water', 'Rock', 'Dark']",{'Wing Attack': 2},"{'Water Gun': 3, 'Smack Down*': 3}","{'Aerial Ace': 2, 'Ice Beam': 2}","{'Ice Punch': 3, 'Crunch': 3, 'Brutal Swing': 3, 'Stone Edge': 3}"
Mantine,"['Dragon', 'Ground']","['Water', 'Water', 'Rock', 'Ground']",{'Mud Shot': 3},"{'Ice Fang': 2, 'Water Gun': 1, 'Rock Throw': 2, 'Sucker Punch': 2}","{'Dig': 3, 'Flamethrower': 3}","{'Bubble Beam': 2, 'Scald': 2, 'Aqua Tail': 1, 'Aqua Jet': 1, 'Breaking Swipe': 2, 'Stone Edge': 2, 'Rock Tomb': 2, 'Icy Wind': 2}"
Trevenant,"['Psychic', 'Electric', 'Electric']","['Fire', 'Psychic']","{'Psycho Cut': 4, 'Thunder Fang': 3, 'Volt Switch': 3}",{'Fire Spin': 2},"{'Grass Knot*': 4, 'Moonblast': 4, 'Psychic Fangs': 3, 'Wild Charge': 3, 'Thunder Cage*': 3, 'Hyper Beam': 3}","{'Blast Burn*': 2, 'Mystical Fire': 2}"
Cresselia,"['Water']","['Ghost', 'Grass', 'Flying', 'Dragon', 'Psychic', 'Fairy']","{'Bubble': 1, 'Psywave': 4}","{'Shadow Claw': 4, 'Air Slash': 4, 'Fairy Wind': 4}","{'Scald*': 1, 'Mud Bomb': 1, 'Rock Slide': 4, 'Psychic': 4}","{'Seed Bomb': 4, 'Shadow Ball': 4, 'Hurricane': 4, 'Draco Meteor': 4, 'Body Slam': 4, 'Wild Charge*': 4}"
Pumpkaboo (Super),"['Steel', 'Rock', 'Water', 'Fairy']","[]","{'Metal Sound': 3, 'Water Gun': 3}","{'Water Gun': 4, 'Double Kick': 4}","{'Rock Tomb': 3, 'Thunder': 3, 'Surf': 3, ""Nature's Madness*"": 3}","{'Aqua Jet': 4, 'Crunch': 4, 'Trailblaze': 4}"
Aggron,[],"['Ghost', 'Grass', 'Grass']",{},"{'Astonish': 3, 'Vine Whip': 3}",{},"{'Grass Knot': 3, 'Foul Play': 3, 'Body Slam': 3, 'Energy Ball': 3}"
Wailord,"['Water', 'Rock', 'Normal', 'Flying']",['Fire'],"{'Water Gun': 1, 'Bullet Seed': 3}",{'Ember': 3},"{'Aqua Tail': 1, 'Ancient Power': 1, 'Drill Peck': 3, 'Rock Blast': 3}","{'Fire Punch': 3, 'Return': 3}"
Relicanth,"['Bug', 'Rock', 'Normal']","['Water', 'Rock', 'Electric', 'Ghost', 'Poison']","{'Fury Cutter': 2, 'Lock On': 3}","{'Rollout': 1, 'Volt Switch': 3, 'Shadow Claw': 2, 'Fairy Wind': 4}","{'X-Scissor': 2, 'Stone Edge': 2, 'Tri Attack*': 3, 'Zap Cannon': 3}","{'Surf': 1, 'Return': 1, 'Stone Edge': 3, 'Rock Blast': 3, 'Shadow Punch': 2, 'Ice Punch': 2, 'Iron Head': 4, 'Play Rough': 4}"
Gengar,"['Rock', 'Grass']","['Ground', 'Rock']",{'Acid': 1},{'Mud Slap': 4},"{'Ancient Power': 1, 'Grass Knot': 1}","{'Bulldoze': 4, 'Stomp': 4}"
Lileep,"['Steel', 'Normal', 'Flying', 'Grass', 'Psychic']","['Ghost', 'Poison', 'Grass']","{'Metal Sound': 2, 'Air Slash': 3, 'Bullet Seed': 3}","{'Shadow Claw': 1, 'Vine Whip': 1}","{'Thunderbolt': 2, 'Vise Grip': 2, 'Fly': 3, 'Close Combat': 3, 'Seed Bomb': 3, 'Psychic': 3}","{'Shadow Punch*': 1, 'Sludge Bomb': 1, 'Leaf Blade': 1, 'Brick Break': 1}"
Fletchinder,"['Flying', 'Dark', 'Normal', 'Poison', 'Normal', 'Grass', 'Fighting']","['Dragon', 'Ground']","{'Sucker Punch': 3, 'Zen Headbutt': 4, 'Mud Slap': 3, 'Vine Whip': 2}",{'Dragon Tail': 1},"{'Fly': 3, 'Rock Tomb': 3, 'Wild Charge*': 4, 'Dazzling Gleam': 4, 'Poison Fang': 3, 'Sludge Bomb': 3, 'Frenzy Plant*': 2, 'Superpower': 2}","{'Crunch': 1, 'Earthquake': 1}"
Bombirdier,['Ground'],"['Fire', 'Flying', 'Ice', 'Water']",{'Mud Slap': 4},"{'Ember': 3, 'Powder Snow*': 3}","{'Drill Run': 4, 'Rock Tomb': 4}","{'Fly': 3, 'Aerial Ace': 3, 'Icicle Spear*': 3, 'Earthquake': 3}"
Gourgeist (Average),['Normal'],[],{'Mud Shot': 2},{},"{'Body Slam': 2, 'Trailblaze': 2}",{}
Greedent,[],"['Ghost', 'Grass', 'Water']",{'Counter': 4},"{'Hex': 2, 'Bubble': 2}","{'Superpower': 4, 'Megahorn': 4}","{'Shadow Ball': 2, 'Seed Bomb': 2, 'Scald*': 2, 'Mud Bomb': 2}"
Tauros (Aqua),"['Dark', 'Poison', 'Grass', 'Psychic']","['Poison', 'Fairy']","{'Poison Jab': 3, 'Tackle': 2, 'Charge Beam': 3}","{'Poison Jab': 3, 'Vine Whip': 2}","{'Aqua Tail': 3, 'Shadow Ball': 3, 'Body Slam': 2, 'Seed Bomb': 2, 'Psyshock': 3, 'Dazzling Gleam': 3}","{'Sludge Bomb': 3, 'Fell Stinger': 3, 'Dazzling Gleam': 2, 'Psychic': 2}"
Overqwil,"['Ghost', 'Dragon']","['Fighting', 'Water', 'Electric', 'Fighting', 'Water']","{'Shadow Claw': 2, 'Metal Sound': 4}","{'Double Kick': 3, 'Volt Switch': 2, 'Fury Cutter': 4}","{'Ominous Wind': 2, 'Shadow Ball': 2, 'Foul Play': 4, 'Iron Head': 4}","{'Aqua Jet': 3, 'Trailblaze': 3, 'Thunder Cage*': 2, 'Hyper Beam': 2, 'Earthquake': 4, 'Aerial Ace': 4}"
Abomasnow,"['Water']","['Flying', 'Dragon']","{'Water Gun': 2, 'Incinerate': 4}",{'Air Slash': 3},"{'Aqua Jet': 2, 'Ice Beam': 2, 'Torch Song': 4, 'Shadow Ball': 4}","{'Hurricane': 3, 'Draco Meteor': 3}"
Wartortle,"['Dragon', 'Fighting', 'Water']","['Grass', 'Ice']","{'Dragon Tail': 2, 'Water Gun': 2}",{'Powder Snow': 2},"{'Dragon Claw': 2, 'Brick Break': 2, 'Cross Chop': 2, 'Liquidation': 2}","{'Icy Wind': 2, 'Energy Ball': 2}"
Castform,"['Ice', 'Rock', 'Grass', 'Steel', 'Dragon', 'Rock', 'Ice']","['Bug', 'Electric', 'Fire']","{'Powder Snow': 4, 'Smack Down': 3, 'Metal Claw': 3, 'Dragon Tail': 3, 'Sucker Punch': 3, 'Ice Shard': 4}","{'Volt Switch*': 2, 'Incinerate': 3}","{'Avalanche': 4, 'Body Slam': 4, 'Rock Slide': 3, 'Flamethrower': 3, 'Iron Head': 3, 'Return': 3, 'Breaking Swipe*': 3, 'Surf': 3, 'Stone Edge': 3, 'Trailblaze': 3, 'Icy Wind': 4}","{'X-Scissor': 2, 'Discharge': 2, 'Blast Burn*': 3, 'Thunder Punch': 3}"
Cetitan,"['Dark', 'Poison', 'Rock', 'Dragon']",['Water'],"{'Poison Sting': 2, 'Powder Snow': 4, 'Dragon Tail': 2}",{'Water Gun': 4},"{'Aqua Tail': 2, 'Shadow Ball': 2, 'Weather Ball (Ice)': 4, 'Meteor Beam': 4, 'Dragon Claw': 2, 'Ancient Power': 2}","{'Weather Ball (Water)': 4, 'Thunder': 4}"
Typhlosion,"['Dark', 'Steel', 'Water']",[],"{'Fury Cutter': 2, 'Water Gun': 3}",{},"{'Night Slash': 2, 'X-Scissor': 2, 'Weather Ball (Water)': 3, 'Thunder': 3}",{}
Pawniard,['Water'],"['Fire', 'Water', 'Grass']",{'Rollout': 3},"{'Incinerate': 2, 'Water Gun': 2, 'Magical Leaf': 2, 'Thunder Shock': 4}","{'Hydro Cannon*': 3, 'Skull Bash': 3}","{'Blast Burn*': 2, 'Thunder Punch': 2, 'Weather Ball (Water)': 2, 'Thunder': 2, 'Grass Knot': 2, 'Seed Flare*': 2, 'Ice Punch': 4, 'Wild Charge': 4}"
Roserade,"['Bug', 'Dark']",['Ice'],"{'Sucker Punch': 1, 'Confusion': 4, 'Struggle Bug': 4}",{'Ice Fang': 3},"{'X-Scissor': 1, 'Trailblaze': 1, 'Doom Desire': 4, 'Dazzling Gleam': 4, 'Aqua Jet': 4, 'Ancient Power': 4}","{'Ice Punch': 3, 'Ice Beam': 3}"
Lokix,"['Poison', 'Water']","['Grass', 'Poison', 'Ground', 'Flying']","{'Mud Shot': 3, 'Mud Slap': 3}","{'Poison Sting': 1, 'Fury Cutter': 2}","{'Sludge': 3, 'Ice Beam': 3, 'Mud Bomb': 3, 'Body Slam': 3}","{'Weather Ball (Fire)*': 1, 'Leaf Storm': 1, 'Aerial Ace': 2, 'Dig': 2}"
Samurott (Hisuian),"['Grass', 'Ghost', 'Psychic', 'Fairy', 'Grass', 'Water', 'Electric', 'Grass', 'Water']","['Poison', 'Dragon', 'Bug', 'Flying', 'Electric']","{'Astonish': 1, 'Fairy Wind': 2, 'Quick Attack': 1, 'Water Gun': 2, 'Vine Whip': 1, 'Rollout': 2}","{'Acid': 4, 'Bug Bite': 2, 'Thunder Shock': 3}","{'Frenzy Plant*': 1, 'Spirit Shackle': 1, 'Body Slam': 2, 'Wild Charge*': 2, 'Leaf Blade': 1, 'Last Resort*': 1, 'Surf': 2, 'Thunderbolt': 2, 'Grass Knot': 1, 'Sludge Bomb': 1, 'Scald': 2}","{'Aqua Tail': 4, 'Outrage': 4, 'Aerial Ace': 2, 'Ancient Power': 2, 'Thunder Punch': 3, 'Brick Break': 3}"
Decidueye,"['Poison', 'Dragon']","['Water', 'Dark', 'Water', 'Dark', 'Ice', 'Grass']",{'Acid': 2},"{'Fury Cutter': 1, 'Water Shuriken': 3, 'Powder Snow': 1, 'Vine Whip': 2}","{'Aqua Tail': 2, 'Outrage': 2}","{'Dark Pulse': 1, 'Icy Wind': 1, 'Hydro Cannon*': 3, 'Night Slash': 3, 'Ice Punch': 1, 'Liquidation': 1, 'Power Whip': 2, 'Crunch': 2}"
Haunter,"['Bug', 'Grass', 'Water', 'Rock', 'Dark', 'Normal', 'Steel', 'Psychic', 'Normal']",[],"{'Shadow Claw*': 2, 'Water Gun': 2, 'Quick Attack': 2, 'Fury Cutter': 2, 'Zen Headbutt': 3}",{'Shadow Claw': 2},"{'Leaf Blade': 2, 'X-Scissor': 2, 'Aqua Tail': 2, 'Ancient Power': 2, 'Crunch': 2, 'Return': 2, 'Psyshock': 2, 'Dazzling Gleam': 3, 'Psychic': 3}","{'Shadow Ball': 2, 'Dark Pulse': 2}"
Leavanny,"['Electric']","['Ghost', 'Poison', 'Water', 'Flying', 'Steel', 'Normal']","{'Thunder Shock': 4, 'Water Gun': 4, 'Volt Switch*': 4}","{'Shadow Claw': 2, 'Bubble': 2, 'Sand Attack': 2, 'Tackle': 1}","{'Thunderbolt': 4, 'Flash Cannon': 4, 'Surf*': 4, 'Ice Beam': 4, 'Dragon Claw': 4}","{'Shadow Punch': 2, 'Ice Punch': 2, 'Icy Wind': 2, 'Hydro Pump': 2, 'Sky Attack': 2, 'Iron Head*': 2, 'Wild Charge': 1, 'Stomp': 1}"
Perrserker,"['Dark', 'Steel', 'Normal', 'Fighting', 'Dark']","['Fire', 'Poison', 'Fighting']","{'Metal Sound': 2, 'Lick': 4, 'Sucker Punch': 4, 'Double Kick': 4}","{'Fire Spin': 1, 'Acid': 2, 'Sucker Punch': 4, 'Karate Chop*': 2}","{'Foul Play': 2, 'Iron Head': 2, 'Swift': 4, 'Cross Chop': 4, 'Brick Break': 4, 'Dynamic Punch': 4, 'Triple Axel': 4, 'Focus Blast': 4}","{'Crunch': 1, 'Flamethrower': 1, 'Dark Pulse': 2, 'Sludge Wave': 2, 'Stone Edge': 4, 'Drill Run': 4, 'Rage Fist*': 2, 'Close Combat': 2}"
Kingambit,[],"['Steel', 'Grass']",{},"{'Shadow Claw': 2, 'Poison Jab': 4, 'Fury Cutter': 2}",{},"{'Close Combat': 2, 'Trailblaze': 2, 'Aqua Tail': 4, 'Shadow Ball': 4, 'Leaf Blade': 2, 'Superpower': 2}"
Beedrill,"['Poison', 'Dark', 'Water', 'Ground']",[],"{'Poison Jab': 3, 'Mud Shot': 3}",{'Powder Snow': 4},"{'Crunch': 3, 'Trailblaze': 3, 'Mud Bomb': 3, 'Scald': 3}","{'Weather Ball (Ice)': 4, 'Dazzling Gleam': 4}"
Skuntank,"['Poison', 'Ground']","['Bug', 'Poison', 'Rock', 'Ground']",{'Poison Sting': 3},"{'Poison Sting': 3, 'Rock Throw': 3}","{'Earthquake': 3, 'Stone Edge': 3}","{'X-Scissor': 3, 'Drill Run*': 3, 'Breaking Swipe': 3, 'Stone Edge': 3}"
Empoleon,"['Rock', 'Ice']",[],{'Powder Snow': 2},{},"{'Weather Ball (Ice)': 2, 'Thunderbolt': 2}",{}
Amaura,"['Electric']","['Water', 'Steel', 'Ice', 'Psychic']","{'Rock Throw': 4, 'Sucker Punch': 3}","{'Metal Claw': 2, 'Confusion': 2}","{'Rock Slide': 4, 'Rock Blast': 4, 'Zap Cannon': 3, 'Parabolic Charge': 3}","{'Hydro Cannon*': 2, 'Drill Peck': 2, 'Ice Punch': 2, 'Triple Axel': 2}"
Ariados,"['Fighting', 'Poison', 'Dark']","['Poison', 'Water', 'Water', 'Ground', 'Steel', 'Ghost']","{'Force Palm': 4, 'Bite': 3, 'Low Kick': 4}","{'Acid': 3, 'Mud Shot': 2, 'Hex': 2}","{'Upper Hand': 4, 'Heavy Slam': 4, 'Crunch': 3, 'Trailblaze': 3, 'High Jump Kick*': 4, 'Brick Break': 4}","{'Aqua Tail': 3, 'Sludge Bomb': 3, 'Aqua Tail*': 2, 'Stone Edge': 2, 'Shadow Ball': 2, 'Power Gem': 2}"
Hariyama,"['Electric', 'Flying']","['Bug', 'Poison', 'Psychic', 'Ground']","{'Thunder Shock': 3, 'Dragon Tail': 4}","{'Poison Sting': 4, 'Confusion': 2, 'Mud Slap': 2}","{'Thunder Punch': 3, 'Crunch': 3, 'Dragon Claw': 4, 'Brick Break': 4}","{'Lunge': 4, 'Trailblaze': 4, 'Psychic Fangs': 2, 'Shadow Ball*': 2, 'Drill Run': 2, 'Rock Tomb': 2}"
Poliwrath,"['Dark', 'Dragon', 'Ice', 'Ground', 'Grass']","['Normal', 'Grass']","{'Dragon Breath': 2, 'Powder Snow': 4, 'Quick Attack': 2}","{'Astonish': 2, 'Magical Leaf': 2}","{'Brutal Swing*': 2, 'Flash Cannon': 2, 'Icicle Spear': 4, 'High Horsepower': 4, 'Leaf Blade': 2, 'Aerial Ace': 2}","{'Aerial Ace': 2, 'Return': 2, 'Grass Knot': 2, 'Seed Flare*': 2}"
Hydreigon,"['Normal', 'Flying', 'Fighting']","['Water', 'Fighting']","{'Quick Attack': 3, 'Double Kick': 4, 'Poison Jab': 3}","{'Counter*': 2, 'Razor Leaf': 4}","{'Brave Bird': 3, 'Fly': 3, 'Close Combat': 4, 'Blaze Kick': 4, 'Body Slam': 3, 'Brick Break': 3}","{'Scald': 2, 'Icy Wind': 2, 'Grass Knot': 4, 'Energy Ball': 4}"
Venomoth,"['Bug', 'Dragon', 'Ice', 'Fighting']","['Ghost', 'Grass']","{'Fury Cutter': 3, 'Dragon Breath': 3, 'Karate Chop': 3}",{'Hex': 3},"{'X-Scissor': 3, 'Aerial Ace': 3, 'Avalanche': 3, 'Dragon Claw': 3, 'Cross Chop*': 3, 'Return': 3}","{'Shadow Ball': 3, 'Seed Bomb': 3}"
Kricketune,"['Fire']","['Bug', 'Poison', 'Fairy', 'Flying']","{'Ember': 1, 'Zen Headbutt': 4}","{'Psywave': 3, 'Fury Cutter': 4, 'Charm': 4}","{'Weather Ball (Fire)': 1, 'Solar Beam': 1, 'Wild Charge*': 4, 'Dazzling Gleam': 4}","{'Poison Fang': 3, 'Bug Buzz': 3, 'X-Scissor': 4, 'Techno Blast (Normal)*': 4, 'Psyshock': 4, 'Aura Sphere*': 4}"
Drampa,"['Ghost', 'Grass', 'Normal', 'Flying']",[],"{'Hex': 2, 'Bullet Seed': 4}",{},"{'Shadow Ball': 2, 'Seed Bomb': 2, 'Drill Peck': 4, 'Rock Blast': 4}",{}
Gourgeist (Small),[],"['Normal', 'Dragon']",{},{'Dragon Breath': 2},{},"{'Swift': 2, 'Fly': 2}"
Scrafty,"['Water', 'Psychic']",[],{'Psywave': 2},{},"{'Surf': 2, 'Power Gem': 2}",{}
Starmie,"['Psychic']","['Dark', 'Fighting', 'Psychic']","{'Charge Beam': 4, 'Rock Throw': 4}","{'Counter': 2, 'Confusion': 1}","{'Psycho Boost': 4, 'Swift': 4, 'Stone Edge': 4, 'Bulldoze': 4}","{'Foul Play': 2, 'Thunder Punch': 2, 'Dark Pulse': 1, 'Psychic': 1}"
Gyarados,"['Poison', 'Dark', 'Bug', 'Flying']","['Ghost', 'Steel']","{'Poison Jab': 3, 'Fury Cutter': 3}","{'Hex': 3, 'Lock On': 1}","{'Crunch': 3, 'Sludge Bomb': 3, 'Aerial Ace': 3, 'Night Slash': 3}","{'Ice Punch': 3, 'Shadow Punch': 3, 'Focus Blast': 1, 'Zap Cannon*': 1}"
Grimer (Alolan),"['Dark']","['Water', 'Flying']","{'Snarl': 3, 'Ember': 4, 'Thunder Shock': 4}",{'Dragon Breath': 3},"{'Dark Pulse': 3, 'Play Rough': 3, 'Rock Slide': 4, 'Flamethrower': 4, 'Thunderbolt': 4, 'Hydro Pump': 4}","{'Aqua Tail*': 3, 'Crunch': 3}"
Avalugg,"['Electric', 'Bug']",[],"{'Thunder Shock': 2, 'Water Shuriken': 4}",{},"{'Wild Charge': 2, 'Shadow Ball': 2, 'Bug Buzz': 4, 'Acid Spray': 4}",{}
Raikou,"['Bug', 'Rock']",['Ice'],{'Smack Down': 3},{'Ice Fang': 2},"{'Rock Tomb': 3, 'X-Scissor': 3}","{'Avalanche': 2, 'Body Slam': 2}"
Drifloon,"['Bug', 'Flying', 'Dark', 'Steel']",[],"{'Fury Cutter': 2, 'Infestation': 4, 'Snarl': 2}",{},"{'Aerial Ace': 2, 'Night Slash': 2, 'Air Cutter': 4, 'Silver Wind': 4, 'Dark Pulse': 2, 'X-Scissor': 2}",{}
Scyther,"['Grass']","['Ghost', 'Flying', 'Fighting', 'Water', 'Flying']","{'Charm': 4, 'Razor Leaf': 2}","{'Hex': 2, 'Low Kick': 2, 'Dragon Breath': 3, 'Air Slash': 4}","{'Psyshock*': 4, 'Moonblast': 4, 'Grass Knot': 2, 'Energy Ball': 2}","{'Icy Wind': 2, 'Shadow Ball': 2, 'Rock Tomb': 2, 'Brick Break': 2, 'Aqua Tail*': 3, 'Crunch': 3, 'Brave Bird': 4, 'Fly': 4}"
Litleo,"['Bug', 'Electric', 'Normal', 'Fairy', 'Ghost', 'Dark', 'Dark']",['Dark'],"{'Fury Cutter': 3, 'Charm': 3, 'Sucker Punch': 3, 'Snarl': 3}",{'Snarl': 1},"{'Discharge': 3, 'Lunge': 3, 'Icy Wind': 3, 'Swift': 3, 'Rock Tomb': 3, 'Shadow Ball': 3, 'Dark Pulse': 3, 'Play Rough': 3}","{'Dark Pulse': 1, 'Last Resort*': 1}"
Galvantula,"['Water', 'Electric']","['Fire', 'Normal', 'Normal', 'Ground', 'Dragon', 'Grass']",{'Water Gun': 2},"{'Incinerate': 3, 'Lock On': 3, 'Dragon Breath': 2, 'Vine Whip': 4}","{'Surf': 2, 'Thunderbolt': 2}","{'Flame Charge': 3, 'Crunch': 3, 'Tri Attack*': 3, 'Zap Cannon': 3, 'Sand Tomb': 2, 'Bug Buzz': 2, 'Grass Knot': 4, 'Sludge Bomb': 4}"
Castform (Snowy),"['Grass', 'Water']","['Fire', 'Water', 'Dragon']","{'Vine Whip': 2, 'Water Gun': 3}","{'Incinerate': 3, 'Dragon Tail': 2}","{'Grass Knot': 2, 'Wrap': 2, 'Surf': 3, 'Crunch': 3}","{'Sludge Bomb': 3, 'Overheat': 3, 'Dragon Claw': 2, 'Aqua Tail': 2}"
Servine,"['Rock', 'Water', 'Ground']","['Ice', 'Grass', 'Fighting', 'Ground', 'Flying']","{'Fury Cutter*': 2, 'Mud Slap': 2}","{'Powder Snow': 2, 'Vine Whip': 3, 'Fury Cutter': 2}","{'Stone Edge': 2, 'Ancient Power': 2, 'Bone Club': 2, 'Return': 2}","{'Weather Ball (Ice)': 2, 'Blizzard': 2, 'Frenzy Plant*': 3, 'Superpower': 3, 'Aerial Ace': 2, 'Dig': 2}"
Pelipper,"['Ground', 'Steel', 'Dark', 'Fire']","['Normal', 'Ground']","{'Mud Slap': 3, 'Fire Fang': 4}",{'Quick Attack': 1},"{'Mud Bomb': 3, 'Iron Head': 3, 'Foul Play': 4, 'Flamethrower': 4}","{'Fire Punch': 1, 'Scorching Sands': 1}"
Dugtrio (Alolan),[],"['Water', 'Flying']",{'Fury Cutter': 4},{'Wing Attack': 3},"{'Leaf Blade': 4, 'Superpower': 4}","{'Weather Ball (Water)': 3, 'Hurricane': 3}"
Flygon,"['Electric', 'Steel']","['Dark', 'Flying']",{'Thunder Shock': 4},{'Air Slash': 2},"{'Discharge': 4, 'Magnet Bomb': 4}","{'Brave Bird': 2, 'Foul Play': 2}"
Magneton,"['Ghost']","['Ground', 'Dragon', 'Ice', 'Water', 'Fairy']","{'Astonish': 3, 'Psywave': 4}","{'Dragon Tail': 4, 'Lock On': 3, 'Bubble': 2}","{'Night Shade': 3, 'Power Gem': 3, 'Superpower': 4, 'Foul Play': 4}","{'Scorching Sands': 4, 'Dragon Claw': 4, 'Blizzard': 3, 'Thunder*': 3, 'Ice Beam': 2, 'Play Rough': 2}"
Pawmot,"['Fire', 'Dragon']",[],{'Incinerate': 1},{},"{'Dragon Pulse': 1, 'Overheat': 1}",{}
Turtonator,"['Fire', 'Fighting', 'Ghost', 'Flying']","['Electric', 'Fighting', 'Grass', 'Dark']","{'Leafage': 4, 'Ember': 4, 'Hex': 4}","{'Thunder Shock': 1, 'Sucker Punch': 1}","{'Grass Knot': 4, 'Play Rough': 4, 'Blast Burn*': 4, 'Rock Slide': 4, 'Icy Wind': 4, 'Shadow Ball': 4}","{'Brick Break*': 1, 'Wild Charge': 1, 'Trailblaze': 1, 'Dynamic Punch': 1}"
Frillish,"['Ground', 'Ghost']","['Ghost', 'Grass', 'Rock', 'Electric']",{'Mud Slap': 4},"{'Astonish': 3, 'Rollout*': 3}","{'Shadow Punch': 4, 'Brick Break': 4}","{'Grass Knot': 3, 'Foul Play': 3, 'Wild Charge': 3, 'Rock Blast': 3}"
Golett,[],"['Water', 'Ghost', 'Grass']",{},"{'Hex': 4, 'Acid': 4}",{},"{'Night Shade': 4, 'Ice Beam': 4, 'Leaf Blade': 4, 'Dazzling Gleam': 4}"
Grimer,['Normal'],"['Dark', 'Flying', 'Normal', 'Flying']",{'Sucker Punch': 1},"{'Air Slash': 4, 'Steel Wing': 2}","{'Surf': 1, 'Grass Knot': 1}","{'Brave Bird': 2, 'Foul Play': 4, 'Drill Peck': 2}"
Furfrou,[],"['Poison', 'Psychic', 'Fairy', 'Psychic', 'Fighting']",{},"{'Poison Jab': 1, 'Charm': 3, 'Confusion': 3, 'Force Palm': 2}",{},"{'Sludge': 1, 'Mud Bomb': 1, 'Triple Axel': 3, 'Shadow Ball': 3, 'Psyshock': 3, 'Dazzling Gleam': 3, 'Brick Break': 2, 'Brutal Swing': 2}"
Pidgeot,"['Fighting', 'Flying']","['Rock', 'Steel', 'Poison', 'Psychic']",{'Poison Jab': 2},"{'Spark': 2, 'Poison Jab': 2}","{'Flying Press': 2, 'Aerial Ace': 2}","{'Rock Slide': 2, 'Zap Cannon': 2, 'Scald': 2, 'Brutal Swing': 2}"
Hawlucha,"['Bug', 'Flying']","['Normal', 'Flying', 'Normal', 'Flying']",{'Fury Cutter': 3},"{'Gust*': 2, 'Air Slash': 1}","{'Aerial Ace': 3, 'Bug Buzz': 3}","{'Air Cutter*': 2, 'Brave Bird': 2, 'Fly': 1, 'Close Combat': 1}"
Dubwool,['Normal'],"['Ground', 'Steel', 'Fighting', 'Dragon']",{'Tackle': 2},"{'Mud Shot': 3, 'Tackle': 2, 'Dragon Tail': 2}","{'Body Slam': 2, 'Trailblaze': 2}","{'Rock Slide': 3, 'Earthquake': 3, 'Body Slam': 2, 'Crunch': 2, 'Dragon Claw': 2, 'Aqua Tail': 2}"
Oinkologne (Female),"['Water', 'Dragon']",['Normal'],"{'Bubble': 4, 'Dragon Breath*': 4}",{'Double Kick': 2},"{'Razor Shell': 4, 'Water Pulse': 4, 'Dragon Energy*': 4, 'Breaking Swipe': 4}","{'Body Slam': 2, 'Payback': 2}"
Raticate (Alolan),"['Ghost', 'Grass', 'Water', 'Psychic']","['Ghost', 'Grass']","{'Astonish': 2, 'Confusion': 2}","{'Fire Spin': 4, 'Hex': 2}","{'Grass Knot': 2, 'Foul Play': 2, 'Aqua Tail': 2, 'Psychic Fangs': 2}","{'Flame Charge': 4, 'Flamethrower': 4, 'Shadow Ball': 2, 'Seed Bomb': 2}"
Pumpkaboo (Large),"['Water', 'Ghost']","['Dark', 'Normal']",{'Hex': 3},{'Quick Attack': 2},"{'Night Shade': 3, 'Ice Beam': 3}","{'Crunch': 2, 'Return': 2}"
Arcanine,"['Ice', 'Psychic', 'Fighting']",[],"{'Lock On': 2, 'Psycho Cut': 3}",{},"{'Blizzard': 2, 'Thunder*': 2, 'Close Combat': 3, 'Leaf Blade': 3}",{}
Regice,"['Electric', 'Steel', 'Electric', 'Flying']","['Fire', 'Dark', 'Fire', 'Rock', 'Ground']","{'Thunder Shock': 3, 'Air Slash': 3}","{'Fire Fang': 1, 'Dragon Breath': 4, 'Tackle': 4, 'Bite': 2}","{'Discharge': 3, 'Magnet Bomb': 3, 'Air Cutter': 3, 'Aerial Ace': 3}","{'Wild Charge': 2, 'Psychic Fangs': 2, 'Foul Play': 1, 'Flamethrower': 1, 'Sand Tomb': 4, 'Bug Buzz': 4, 'Icy Wind': 4, 'Crunch': 4, 'Ancient Power': 2, 'Dig': 2}"
Bewear,"['Fighting', 'Poison', 'Grass', 'Grass']","['Fighting', 'Water', 'Steel']","{'Shadow Claw': 3, 'Bullet Seed': 1, 'Acid': 1, 'Zen Headbutt': 4}","{'Double Kick': 4, 'Metal Sound': 4}","{'Close Combat': 3, 'Aerial Ace': 3, 'Weather Ball (Fire)': 1, 'Solar Beam': 1, 'Leaf Blade': 1, 'Dazzling Gleam': 1, 'Shadow Ball': 4, 'Return': 4}","{'Aqua Jet': 4, 'Trailblaze': 4, 'Mirror Shot': 4, 'Zap Cannon': 4}"
Sneasler,['Normal'],"['Normal', 'Fighting', 'Dark']",{'Sucker Punch': 2},"{'Shadow Claw': 3, 'Snarl': 3}","{'Aerial Ace': 2, 'Ice Beam': 2}","{'Superpower': 3, 'Stomp': 3, 'Brutal Swing*': 3, 'Megahorn': 3}"
Machop,"['Fire', 'Flying', 'Grass']","['Rock', 'Water', 'Rock', 'Dragon']","{'Ember*': 2, 'Bullet Seed': 2}","{'Mud Shot': 2, 'Dragon Tail': 3, 'Fury Cutter': 4}","{'Blast Burn*': 2, 'Dragon Claw': 2, 'Sludge Bomb': 2, 'Leaf Storm': 2}","{'Aqua Jet': 2, 'Rock Tomb': 2, 'Meteor Beam': 3, 'Crunch': 3, 'X-Scissor': 4, 'Drill Run': 4}"
Charizard,[],"['Fighting', 'Water', 'Psychic']",{},"{'Karate Chop': 2, 'Confusion': 2}",{},"{'Cross Chop': 2, 'Return': 2, 'Aqua Tail': 2, 'Psychic Fangs': 2}"
